CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
26124718000183,FARMACIA DO TRABALHADOR DE ACRELANDIA LTDA,GASTE MENOS,AVENIDA,GERALDO BARBOSA,506,ACRELANDIA,CENTRO,AC,,ATIVA,-10.07697746718,-67.054223379613
06626253052208,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,AVENIDA,CORONEL MANCIO LIMA,421,CRUZEIRO DO SUL,BAIXA,AC,,ATIVA,-7.63535608183,-72.671232877825
06011700000168,H. R. LIMA,DROGARIA CRUZEIRO,AVENIDA,CEL. MANCIO LIMA,169,CRUZEIRO DO SUL,CENTRO,AC,,ATIVA,-7.637472807336,-72.669931576625
14351621000124,MARIA DA SILVA FREITAS,DROGA ATIVA,AVENIDA,SANTOS DUMONT,646,EPITACIOLANDIA,CENTRO,AC,,ATIVA,-11.0273133,-68.7429138
03608877000158,R V N FELICIO,FARMACENTRO,AVENIDA,MARECHAL DEODORO,780,FEIJO,CENTRO,AC,,ATIVA,-8.169835653188,-70.358556798545
18731379000256,R. LUCAS DA SILVA,R FARMA,AVENIDA,JAPIIM,1061,MANCIO LIMA,CENTRO,AC,,ATIVA,-7.620155148104,-72.896143883621
18731379000337,R. LUCAS DA SILVA,R FARMA,RUA,CINCO DE NOVEMBRO,14,MARECHAL THAUMATURGO,CENTRO,AC,,ATIVA,-8.946616499042,-72.785143377806
04509006000140,SERGIO CARLOS VIEIRA,DROGARIA E COMERCIAL CENTRAL,AVENIDA,EPITACIO PESSOA,476,PLACIDO DE CASTRO,CENTRO,AC,,ATIVA,-10.333394301279,-67.184933008247
04521258000194,J CRUZ LTDA,FARMACIA DO CONSUMIDOR,AVENIDA,CEARA,952,RIO BRANCO,CERAMICA,AC,,ATIVA,-9.971701268856,-67.805656417181
06626253048863,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE NENOS,RUA,QUINTINO BOCAIUVA,1514,RIO BRANCO,BOSQUE,AC,,ATIVA,-9.962390395795,-67.810917928727
06626253031464,EMPREENDIMENTOS PAGUE MENOS S/A,EMPREENDIMENTOS PAGUE MENOS,AVENIDA,BRASIL,71,RIO BRANCO,CENTRO,AC,,ATIVA,-9.972289591083,-67.805622912853
06626253040102,EMPREENDIMENTOS PAGUE MENOS S/A,PAGUE MENOS,AVENIDA,NACOES UNIDAS,2890,RIO BRANCO,ESTACAO EXPERIMENTAL,AC,,ATIVA,-9.965748200804,-67.832838404506
04521258000356,J CRUZ LTDA,FARMACIA DO CONSUMIDOR,RUA,06 DE AGOSTO,209,RIO BRANCO,SEIS DE AGOSTO,AC,,ATIVA,-9.975717840836,-67.796931855937
47928373000190,DROGARIA MINHA SAUDE LTDA,DROGARIA BEM ESTAR,AVENIDA,PRESIDENTE JUSCELINO,523,RODRIGUES ALVES,CENTRO,AC,,ATIVA,-7.735782632755,-72.651394870844
51163563000131,E. J. DA SILVA DE ARAUJO LTDA,TOTAL DROGARIAS,AVENIDA,BRASIL,151,SENA MADUREIRA,CENTRO,AC,,ATIVA,-9.068932245492,-68.658089890488
04521258003029,J CRUZ LTDA,DROGARIAS ULTRA POPULAR,RUA,SIQUEIRA CAMPOS,85,SENA MADUREIRA,CENTRO,AC,,ATIVA,-9.064484005358,-68.655896498196
14331193000178,AURELIO ALVES DE LIMA,DROGARIA ALVES,AVENIDA,SENADOR EDUARDO ASSMAR,42,SENADOR GUIOMARD,COHAB,AC,,ATIVA,-10.159574544771,-67.733149418177
04017547000150,VALDICELIO LIMA DA SILVA LTDA,DROGARIA VIVER BEM,RUA,JOAO DE PAIVA,979,TARAUACA,CENTRO,AC,,ATIVA,-8.168448592,-70.765271827058
