CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
08529011000175,EDLA ALESSANDRA BORGES MACHADO DE OLIVEIRA,FARMACIA FARIAS,RUA,SAO BENTO,19,AGUA BRANCA,CENTRO,AL,,ATIVA,-9.650771184662,-35.725780891127
16692260000105,MOREIRA & CORREIA FARMACIA LTDA,FARMACIA SILVA,SITIO,POVOADO TABULEIRO GRANDE,SN,ANADIA,POVOADO,AL,,ATIVA,-9.6914806,-36.3041388
16780567000168,L C FERNANDES FARMACIA,FARMACIA POPULAR DE ANADIA,PRACA,DR CAMPELO DE ALMEIDA,239,ANADIA,CENTRO,AL,,ATIVA,-9.6914806,-36.3041388
08369706000307,A C G VILELA DE ALMEIDA,DROGALIMA,RUA,SAO JOAO,362,ARAPIRACA,SANTA ESMERALDA,AL,,BAIXADA,-9.742675986952,-36.654049678079
05230009002156,COMERCIAL DRUGSTORE LTDA,FARMACIA PERMANENTE,PRACA,LUIZ PEREIRA LIMA,227,ARAPIRACA,CENTRO,AL,,ATIVA,-9.754102951733,-36.659953429671
05325467000206,D A L COMERCIO LTDA,DROGALIMA,RUA,EXPEDICIONARIOS BRASILEIROS,771,ARAPIRACA,ELDORADO,AL,,ATIVA,-9.744772514611,-36.667049868044
05325467000559,D A L COMERCIO LTDA,DROGALIMA,LARGO,DOM FERNANDO GOMES,15,ARAPIRACA,CENTRO,AL,,ATIVA,-9.75112046669,-36.660681939459
05325467000397,D A L COMERCIO LTDA,DROGALIMA,RUA,PAULO AFONSO,329,ARAPIRACA,PRIMAVERA,AL,,ATIVA,-9.764158813152,-36.66211301078
06198619006331,DROGATIM DROGARIAS LTDA,FARMACIA PERMANENTE,RUA,NOSSA SENHORA DE FATIMA,386,ARAPIRACA,BRASILIA,AL,,ATIVA,-9.751398991678,-36.653666792742
06198619002425,DROGATIM DROGARIAS LTDA,FARMACIA PERMANENTE,PRAÇA,DEPUTADO MARQUES DA SILVA,03,ARAPIRACA,CENTRO,AL,,ATIVA,-9.771237966376,-36.648444809609
