CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
23483440000142,J. S. MONTEIRO LTDA,DROGA NORTE,RUA,GRACILIANO FARIAS,104,BOA VISTA DO RAMOS,CENTRO,AM,,ATIVA,-2.969704072532,-57.58884606976
12221330000277,DROGARIA E FARMACIA DE MANIPULACAO ARARAS LTDA,DROGARIA E FARMACIA DE MANIPULACAO ARARAS,TRAVESSA,RUI BARBOSA,101,BOCA DO ACRE,CENTRO,AM,,ATIVA,-8.75206375382,-67.398970230948
12221330000196,DROGARIA E FARMACIA DE MANIPULACAO ARARAS LTDA,DROGARIA ARARAS,AVENIDA,MARIO DIOGO DE MELO,143,BOCA DO ACRE,PLATO DO PIQUIA,AM,,ATIVA,-8.7918592,-67.3265871
22347965000198,M S DOS SANTOS & CIA LTDA,DROGARIA TEFE,RUA,ANASTACIO CAVALCANTE,1530,CARAUARI,CENTRO,AM,,ATIVA,-4.8770066608,-66.897170376879
14078113000114,A P L DE MATOS MEDICAMENTOS LTDA,FARMA NORTE,RUA,02 DE DEZEMBRO,670,COARI,TAUA-MIRIM,AM,,ATIVA,-4.08818094879,-63.147225946866
07438265000115,DROGALAR COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA,DROGARIA DROGALAR,RUA,INDEPENDENCIA,293,COARI,CENTRO,AM,,INAPTA,-4.083573355227,-63.141355317292
41900984000144,RAYSA LOPES FELICIANO,FARMA MAIS,RUA,ESTRADA MARIANO,S/N,ENVIRA,SANTA RITA,AM,,ATIVA,-7.447427122432,-70.02927447761
37095048000130,S J C DE FARIA,DROGARIA + POPULAR,RUA,TRES,26,FONTE BOA,PAI SABA,AM,,ATIVA,-2.512239559361,-66.084795488336
84096510000102,JANDIRA OLIVEIRA DA SILVA LTDA,DROGARIA DO TRABALHADOR,RUA,RIO MADEIRA,2043,HUMAITA,SAO PEDRO,AM,,ATIVA,-7.512981874985,-63.030546228057
05497211000103,SILVA E FERNANDES LTDA,DROGARIA NACIONAL,AVENIDA,7 DE SETEMBRO,1355,ITACOATIARA,IRACY,AM,,ATIVA,-3.138315519795,-58.444305364974
29504108000101,IURY DUARTE ALMEIDA LTDA,DROGARIA ALMEIDA,RUA,FRANCISCO DE PAULA,65,JURUA,CENTRO,AM,,ATIVA,-3.47046303573,-66.060616162938
10554536000102,L. P. V. DA SILVA,FARMACIA AURORA,RUA,COSTA E SILVA,110,JUTAI,CENTRO,AM,,ATIVA,-2.745205271044,-66.77079365585
09648661000100,SAMARA SOUZA SANTOS LTDA,DROGARIA AGAPE,AVENIDA,CEL. LUIZ GOMES,356,LABREA,CENTRO,AM,,ATIVA,-7.263155427417,-64.797321930043
06626253044108,EMPREENDIMENTOS PAGUE MENOS S/A,EMPREENDIMENTOS PAGUE MENOS S/A,BOULEVARD,PEDRO RATTES,693,MANACAPURU,CENTRO,AM,,ATIVA,-3.278767792331,-60.646979996441
07615591000150,EDILSON LIMA IDEMICIO,,RUA,CENTRAL,673,MANAUS,COROADO,AM,,ATIVA,-3.094713107261,-59.983977796502
06626253050680,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,AVENIDA,ANDRE ARAUJO,72,MANAUS,ADRIANOPOLIS,AM,,ATIVA,-3.106127080091,-60.007206732411
06626253044019,EMPREENDIMENTOS PAGUE MENOS S/A,EMPREENDIMENTOS PAGUE MENOS S/A,AVENIDA,DESEMBARGADOR JOAO MACHADO,05,MANAUS,ALVORADA,AM,,ATIVA,-3.073676416219,-60.036682533117
06626253024417,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIAS PAGUE MENOS,AVENIDA,SETE DE SETEMBRO,1214,MANAUS,CENTRO,AM,,ATIVA,-3.134787614986,-60.019571380699
06626253022805,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,AVENIDA,JOAO VALERIO,280,MANAUS,NOSSA SENHORA DAS GRACAS,AM,,ATIVA,-3.10757722649,-60.018444032285
06626253041699,EMPREENDIMENTOS PAGUE MENOS S/A,EMPREEDIMENTOS PAGUE MENOS S/A,RUA,NOEL NUTELS,572,MANAUS,CIDADE NOVA,AM,,ATIVA,-3.035064745271,-59.993746905854
