CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
19673511000100,DROGARIA SANTANA DE MIRANDA LTDA,BELLAFARMA,RUA,JOSE JOAQUIM DE AZEVEDO,06,ABAIRA,CENTRO,BA,,ATIVA,-13.251067122601,-41.664916546295
32629701000180,CICERO ALVES DOS SANTOS E CIA LTDA,FARMACIA SANTOS,RUA,MINISTRO OLIVEIRA BRITO,146,ABARE,CENTRO,BA,,ATIVA,-8.722244913517,-39.115112567758
12286839000117,E M MENEZES DE ANDRADE DE ABARE,FARMACIA DO POVO,RUA,JOSE LOURENCO,9962,ABARE,IBO,BA,,ATIVA,-8.63056,-39.24694
13866605000101,DROGARIA DIAS LIMA LTDA,FARMA DIAS,PRACA,DUQUE DE CAXIAS,S/N,ACAJUTIBA,CENTRO,BA,,ATIVA,-11.66006063521,-38.019487758362
10894024000195,REINALDO VASCONCELOS PEREIRA,REDE DE FARMACIA NOSSA SENHORA DE FATIMA,RUA,JOAO GONZAGA DE MENEZES,117,ADUSTINA,CENTRO,BA,,ATIVA,-10.536808686072,-38.115753122831
61412110048786,DROGARIA SAO PAULO S.A.,DROGARIA SAO PAULO,AVENIDA,PRAIA DE ITAPOAN,752,LAURO DE FREITAS,VILAS DO ATLANTICO,BA,,ATIVA,-12.891250732559,-38.293854132263
15629579000808,DROGARIA SILVA ROCHA LTDA,FARMACIA SILVA ROCHA,RUA,DR. JOAO DANTAS,S/N,ALAGOINHAS,SANTA TEREZINHA,BA,,ATIVA,-12.129386623803,-38.419704584077
15629579000638,DROGARIA SILVA ROCHA LTDA,FARMACIA SILVA ROCHA,RUA,DANTAS BIAO,203,ALAGOINHAS,ALAGOINHAS VELHA,BA,,ATIVA,-12.138295495947,-38.415284174688
15629579000719,DROGARIA SILVA ROCHA LTDA,FARMACIA SILVA ROCHA,RUA,CARLOS AZEVEDO,18,ALAGOINHAS,CENTRO,BA,,ATIVA,-12.141892799242,-38.425738587242
15629579000476,DROGARIA SILVA ROCHA LTDA,FARMACIA SILVA ROCHA,RUA,CONSELHEIRO MOURA,155,ALAGOINHAS,CENTRO,BA,,ATIVA,-12.310100858176,-38.643896664248
15629579000204,DROGARIA SILVA ROCHA LTDA,FARMACIA SILVA ROCHA LTDA.,PRACA,DA BANDEIRA,SN,ALAGOINHAS,CENTRO,BA,,ATIVA,-12.1387598,-38.4246934
15629579000557,DROGARIA SILVA ROCHA LTDA,FARMACIA SILVA ROCHA,PRAÇA,JOSE JOAQUIM SEABRA,39,ALAGOINHAS,CENTRO,BA,,ATIVA,-12.25903329079,-38.963987696433
15629579000123,DROGARIA SILVA ROCHA LTDA,FARMACIA SILVA ROCHA,RUA,RUA VISCONDE DE SAO LOURENCO,70,ALAGOINHAS,CENTRO,BA,,ATIVA,-12.135273524843,-38.422718702702
06626253034994,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,RUA,RODRIGUES LIMA,160,ALAGOINHAS,CENTRO,BA,,ATIVA,-12.136644802487,-38.421932884481
01594422000448,MGS FARMACIAS LTDA,FARMACIA MORAIS,PRACA,JJ SEABRA,80,ALAGOINHAS,CENTRO,BA,,ATIVA,-12.256109180048,-38.963962886
08935505000150,ARAUJO E IRMAOS LTDA,FARMACIA ECONOMICA,RUA,BIJONGA,92,ALCOBACA,CENTRO,BA,,ATIVA,-17.536525511262,-39.193580314391
12893501000123,B. BRITO DOS SANTOS CONFECCOES LTDA,MAGAZINE AVENIDA,AVENIDA,SETE DE SETEMBRO,573,ALCOBACA,CENTRO,BA,,ATIVA,-17.522722908972,-39.194302040765
13408507000120,H S COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMACIA UNIAO,PRACA,TIRADENTES,403,AMARGOSA,CENTRO,BA,,BAIXADA,-13.029867502586,-39.602986976553
08662214000216,S C FARMACIA LTDA,FARMACIA MENOR PRECO,PRACA,TIRADENTES,353,AMARGOSA,CENTRO,BA,,ATIVA,-13.029867502586,-39.602986976553
03619471000170,BORGES FARMA COMERCIAL DE MEDICAMENTOS LTDA,BORGES FARMA,PRACA,DA MATRIZ,205,AMELIA RODRIGUES,CENTRO,BA,,ATIVA,-12.401137915944,-38.753971157998
01605654000373,PAIM & CERQUEIRA INFORMATICA LTDA,ATENDBEM,PRACA,DA MATRIZ,169,AMELIA RODRIGUES,CENTRO,BA,,BAIXADA,-12.401137915944,-38.753971157998
47801488000110,ANTUNES E AGUIAR LTDA,DROGARIA SOUZA,PRACA,DO COMERCIO,58,AMERICA DOURADA,DISTRITO SOARES,BA,,ATIVA,-11.30278,-41.46417
07455853000167,FARMACIA JESSICA LTDA,FARMACIA ALIANCA,RUA,AGNELO CARDOSO,21,ANAGE,SAO JOAO BATISTA,BA,,ATIVA,-14.616121791336,-41.139892786475
07455853000248,FARMACIA JESSICA LTDA,FARMACIA ALIANCA,RUA,AGNELO CARDOSO,21,ANAGE,SAO JOAO BATISTA,BA,,BAIXADA,-14.616121791336,-41.139892786475
03700189000113,DROGARIA CARDOSO & DIAS LTDA,PHARMAVIDA,RUA,FIDELIS BOTELHO,66,ANAGE,CENTRO,BA,,ATIVA,-14.6104864,-41.1335199
07702022000142,ALFA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,ALFA FARMACIA,PRACA,RUBENS ALVES,174,ANDORINHA,CENTRO,BA,,ATIVA,-12.654417979065,-39.11591411897
04342609000108,ARLETE MARIA DE OLIVEIRA SILVA,FARMACIA IMACULADA CONCEICAO,RUA,CONSTANTINO GUIMARAES,193,ANDORINHA,CENTRO,BA,,ATIVA,-10.344569998435,-39.832632840148
13075721000102,FARMACIA DO POVO COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMACIA DO POVO,PRACA,RUBENS ALVES,60,ANDORINHA,CENTRO,BA,,INAPTA,-12.654921643937,-39.115034382264
