CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
04561366000190,102 DROGAS SERVICOS DE ENTREGA RAPIDA LTDA,,QUADRA,QUADRA 197 LOTE 11 PARTE,D,LUZIANIA,JARDIM BANDEIRANTE,GO,,ATIVA,-16.2582454,-47.9352391
06881911000151,A & T PHARMA COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA,,QUADRA,CND,3,BRASILIA,TAGUATINGA N,DF,,ATIVA,-15.811062134249,-48.063410407893
05284619000199,DROGARIA SOCIAL COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,DROGARIA SOCIAL,,COMERCIO LOCAL CL 103 LOTE E-35,S/N,BRASILIA,SANTA MARIA,DF,,ATIVA,-16.017698714294,-48.051339015499
04303916000171,ALYNE CRISTHIAN FERREIRA,DROGARIA DO JUNIOR,SETOR,"SRE/S CL BLOCO A LOJAS 45, 49, 53 E 57",SN,BRASILIA,CRUZEIRO VELHO,DF,,ATIVA,-15.78551,-47.93383
08692807000144,AM&M COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,DROGARIA FAMILIA,AVENIDA,PARANOA QUADRA 30 CONJUNTO 22 LOTE 10 LOJA,01,BRASILIA,PARANOA,DF,,ATIVA,-15.763868980931,-47.780120981755
07326938000145,AND DROGARIA LTDA,NOSSA PHARMA,CONDOMÍNIO,LARA CONJUNTO A LOTE,01,BRASILIA,SOBRADINHO,DF,,ATIVA,-15.647410818211,-47.787925036525
17661409000151,BIGFARMA COMERCIO DE MEDICAMENTOS LTDA,DROGARIA BIGFARMA,QUADRA,QUADRA 27 CONJUNTO 19,S/N,BRASILIA,PARANOA,DF,,ATIVA,-15.766537883676,-47.782469632934
01890830000102,BRITO E RODRIGUES LTDA,DROGARIA DROGAGIO,QUADRA,QR 503 CONJUNTO 4 LOTE 13 LOJA,02,BRASILIA,SAMAMBAIA SUL (SAMAMBAIA),DF,,INAPTA,-15.887389301211,-48.090949171787
07250291000115,C & V DROGARIA GENERICA POPULAR LTDA,DROGARIA GENERICA POPULAR,QUADRA,22 CONJUNTO A LOTE,11,BRASILIA,PARANOA,DF,,INAPTA,-15.768217035334,-47.778687199097
06223578000193,CSP COMERCIO DE MEDICAMENTOS LTDA,FARMANOSSA,QUADRA,12 CONJUNTO 8 LT,05,BRASILIA,PARANOA,DF,,ATIVA,-16.0246775692,-48.087344775156
01026890000173,D.M.G. DROGARIA LTDA,DROGARIA PAINEIRAS,QUADRA,QUADRA 2 COMERCIO LOCAL S/N,S/N,BRASILIA,SETOR NORTE (GAMA),DF,,INAPTA,-16.006039645399,-48.049125268161
17978448000187,DF COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,DROGARIA SAUDE,QUADRA,QN,310,BRASILIA,SAMAMBAIA,DF,,ATIVA,-15.8672999,-48.0844682
11073865000102,DNA FARMA COMERCIO E DISTRIBUIDORA DROGAS LTDA,DROGARIA POPULAR FARMAVIDA,RUA,RUA 4A AREA EXPANSAO FEIRA DO PRODUTOR BLOCO,03,BRASILIA,SETOR HABITACIONAL VICENTE PIRES,DF,,SUSPENSA,-15.79921250207,-48.055262470267
10946502000163,DROGABELLA COMERCIO LTDA,DROGARIA FARMANOBRE,QUADRA,QI 1 CONJUNTO A,SN,VALPARAISO DE GOIAS,CIDADE JARDINS,GO,,ATIVA,-16.055218319434,-47.980593306935
00618884000142,DROGALUCIA LTDA,GENERICA DROGARIA FARMACEI,SETOR,ST G NORTE AE P/CINEMA LOJA,35,BRASILIA,TAGUATINGA NORTE,DF,,ATIVA,-15.8314149,-48.0577999
19115653000144,DROGAPAULA MEDICAMENTOS LTDA,DROGARIA VIRGEM DA VITORIA,QUADRA,QND 01 LOTE 01 LOJAS 01 E 02,S/N,BRASILIA,TAGUATINGA,DF,,BAIXADA,-15.833411589388,-48.088041196013
05442315000102,DROGA ALFA LTDA,DROGAFUJI,QUADRA,EQNM 24/26 BLOCO C,SN,BRASILIA,CEILANDIA NORTE (CEILANDIA),DF,,BAIXADA,-15.797581557674,-48.111382461091
06277527000144,DROGARIA 44 LTDA,DROGARIA 44,,E/Q 42/44 BLOCO A LOTE 01 LOJA,14,BRASILIA,GUARA II,DF,,ATIVA,-15.83751,-47.97765
13749545000147,DROGASUPER LTDA,DROGASUPER,MODULO,MU 4,LJ 01,BRASILIA,CANDANGOLANDIA,DF,,BAIXADA,-15.851407,-47.951271
01276256001837,DROGARIA ALAMEDA LTDA,DROGAFUJI,AVENIDA,AC AVENIDA DAS ARAUCARIAS LOTE 1325 LOJA,13,BRASILIA,AGUAS CLARAS,DF,,ATIVA,-15.839278114948,-48.018753795329
01276256002809,DROGARIA ALAMEDA LTDA,DROGAFUJI,RUA,AC RUA ALECRIM LOTE 06 BLOCO A,S/N,BRASILIA,AGUAS CLARAS,DF,,ATIVA,-15.837832834184,-48.017248683048
01276256001918,DROGARIA ALAMEDA LTDA,DROGAFUJI,RUA,ALAMEDA DOS EUCALIPTOS QUADRA 107 LOTE,13,BRASILIA,NORTE (AGUAS CLARAS),DF,,ATIVA,-15.829173687766,-48.032321132735
01276256000784,DROGARIA ALAMEDA LTDA,DROGAFUJI,QUADRA,SHCS CL QUADRA 309 BLOCO C,S/N,BRASILIA,ASA SUL,DF,,ATIVA,-15.8301635,-47.9148153
01276256002132,DROGARIA ALAMEDA LTDA,DROGAFUJI,QUADRA,"SHC/SUL COMERCIO LOCAL QUADRA 302-A, BLOCO A, LOJA",23,BRASILIA,ASA SUL,DF,,ATIVA,-15.8301635,-47.9148153
01276256000601,DROGARIA ALAMEDA LTDA,DROGAFUJI,RUA,ALECRIM LOTE,15,BRASILIA,NORTE (AGUAS CLARAS),DF,,ATIVA,-15.837832834184,-48.017248683048
01276256000270,DROGARIA ALAMEDA LTDA,DROGAFUJI,,SCN QUADRA 02 BLOCO D LOJA T -169,S/N,BRASILIA,BRASILIA,DF,,ATIVA,-15.876198197192,-48.038236912358
01276256002647,DROGARIA ALAMEDA LTDA,DROGAFUJI,VILA,SAO JOSE EQ 35/36 BLOCO E LOTE,01,BRASILIA,BRAZLANDIA,DF,,ATIVA,-15.66361819192,-48.193435812459
01276256000865,DROGARIA ALAMEDA LTDA,DROGAFUJI,QUADRA,04 NORTE LOTE 25 LOJAS,01/02,BRASILIA,BRAZLANDIA,DF,,ATIVA,-15.684828118851,-48.201841412394
01276256001322,DROGARIA ALAMEDA LTDA,DROGAFUJI,RUA,RUA 12 CHACARA 312A LOTE,01A,BRASILIA,SETOR HABITACIONAL VICENTE PIRES,DF,,ATIVA,-15.79921250207,-48.055262470267
01276256001594,DROGARIA ALAMEDA LTDA,DROGAFUJI,QUADRA,QNM 18 CONJUNTO A LOTE 08 LOJA,01,BRASILIA,CEILANDIA,DF,,ATIVA,-15.82327059771,-48.114991015829
01276256002485,DROGARIA ALAMEDA LTDA,DROGAFUJI,QUADRA,QE 11,SN,BRASILIA,GUARA I,DF,,ATIVA,-15.81903,-47.98208
01276256003880,DROGARIA ALAMEDA LTDA,DROGAFUJI,QUADRA,CLSW 303 BLOCO C,SN,BRASILIA,SETOR SUDOESTE,DF,,ATIVA,-15.801280481962,-47.926474756607
01276256002213,DROGARIA ALAMEDA LTDA,DROGAFUJI,QUADRA,CENTRAL BLOCO 12 LOTE,13,BRASILIA,SOBRADINHO,DF,,ATIVA,-15.643901484403,-47.825745476851
01276256003457,DROGARIA ALAMEDA LTDA,DROGAFUJI,RUA,DAS PAINEIRAS LOTE 03 E RUA 30 NORTE LOTE 04 LOJA,13,BRASILIA,NORTE (AGUAS CLARAS),DF,,ATIVA,-30.137782922197,-50.865818555509
01276256003538,DROGARIA ALAMEDA LTDA,DROGAFUJI,AREA ESPECIAL,04 LOTE G E H BLOCO B,S/N,BRASILIA,GUARA II,DF,,ATIVA,-15.83751,-47.97765
01276256001403,DROGARIA ALAMEDA LTDA,DROGAFUJI,SETOR,SHIN EPPN CANTEIRO CENTRAL LOTE 15 BLOCO B LOJA 22 E 26,SN,BRASILIA,SETOR DE HABITACOES INDIVIDUAIS NORTE,DF,,ATIVA,-15.75968576115,-47.839453844665
01276256001675,DROGARIA ALAMEDA LTDA,DROGAFUJI,QUADRA,QUADRA 103,SN,BRASILIA,RECANTO DAS EMAS,DF,,ATIVA,-15.899881000079,-48.067746779571
