CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
27000488000103,A. RIBEIRO LTDA,FARMACIA SAO SEBASTIAO,AVENIDA,MARECHAL DEODORO,132,AFONSO CLAUDIO,CENTRO,ES,,ATIVA,-20.074638551406,-41.125456663673
10340732000184,FARMACIA ELC LTDA,,RUA,MARECHAL DEODORO,34,AFONSO CLAUDIO,CENTRO,ES,,ATIVA,-20.074818993221,-41.125502319975
09390296000179,DROGARIA WANCLEY LTDA,FARMACIA DO WANCLEY,PRACA,DA BANDEIRA,140,AFONSO CLAUDIO,CENTRO,ES,,ATIVA,-20.311569406399,-40.356376821392
27068618000140,SAULO RICARDO RIBEIRO TRISTAO LTDA,,RUA,MARECHAL DEODORO,01,AFONSO CLAUDIO,CENTRO,ES,,ATIVA,-20.07404598596,-41.125154152083
08734562000170,FARMACIA CEL LTDA,,RUA,MARECHAL DEODORO,72,AFONSO CLAUDIO,CENTRO,ES,,ATIVA,-20.074749025986,-41.125484616511
16586025000159,FARMACIA FARLEY LTDA,,AVENIDA,OCTAVIO SAITER,70,AFONSO CLAUDIO,CENTRO,ES,,ATIVA,-20.07361185429,-41.125023442543
39392139000163,FARMACIA SAO TOME LTDA,DROGARIA SAO TOME,RUA,MARECHAL DEODORO,109,AFONSO CLAUDIO,CENTRO,ES,,ATIVA,-20.074501538977,-41.125294897495
21058180000132,FARMACIA SAO VICENTE LTDA,,RUA,FELICIO PEREIRA DE SOUZA,361,AFONSO CLAUDIO,SAO VICENTE,ES,,ATIVA,-20.080645935439,-41.124428650845
32425712000149,FARMACIA L A LTDA,,RUA,MARECHAL DEODORO,212,AFONSO CLAUDIO,CENTRO,ES,,ATIVA,-20.07449036601,-41.125417864637
20900567000121,FARMACIA VILA PONTOES LTDA,,RUA,MAURICIO ZAMBON,250,AFONSO CLAUDIO,PONTOES,ES,,ATIVA,-20.199009263215,-41.045107206534
07122069000137,NL FARMACIA LTDA,FARMACIA SAO TOME,AVENIDA,PRESIDENTE VARGAS,260,AFONSO CLAUDIO,CENTRO,ES,,ATIVA,-20.076479,-41.125359
07400440000185,FARMACIA MOURA LTDA,,RODOVIA,ES 080,34,AGUA DOCE DO NORTE,GOV.LAC.DE AGUIAR,ES,,ATIVA,-18.639913552873,-40.939638166567
11573388000136,DROGARIA DURVAL FERREIRA DE CASTRO LTDA,FARMACIA CAPIXABA,RUA,ALACI COSTA,7,AGUA DOCE DO NORTE,CENTRO,ES,,ATIVA,-18.548062004356,-40.979291789916
11833509000131,DROGARIA SOUZA GARCIA LTDA,,AVENIDA,SEBASTIAO COELHO DE SOUZA,426,AGUA DOCE DO NORTE,CENTRO,ES,,ATIVA,-18.551828488832,-40.980256088841
39396791000156,GERSON VIEIRA DE SOUZA & CIA LTDA,FARMACIA DO GERSON,RUA,DOMINGOS MARCOLINO,68,AGUA DOCE DO NORTE,CENTRO,ES,,ATIVA,-18.547135435418,-40.981355788878
10679308000169,MARIA GORETTE MEDICAMENTOS LTDA,,RUA,ANTONIO PEREIRA DA SILVA,02,AGUA DOCE DO NORTE,VILA NELITA,ES,,ATIVA,-18.475134935871,-41.019457650118
09501470000103,MARQUES MEDICAMENTOS LTDA,,RUA,MARIO DE OLIVEIRA DIAS,543,AGUA DOCE DO NORTE,SANTO AGOSTINHO,ES,,ATIVA,-18.416526151549,-41.032314463999
10876045000188,DROGARIA BONI LTDA,DROGARIA BONI,AVENIDA,JOAO QUIUQUI,361,AGUIA BRANCA,CENTRO,ES,,ATIVA,-18.9852439,-40.7379464
36391787000107,DROGARIA NICHIO LTDA,DROGARIA NICHIO,AVENIDA,JOAO QUIUQUI,477,AGUIA BRANCA,CENTRO,ES,,ATIVA,-18.9852439,-40.7379464
17323115000110,DROGARIA NUNES DE OLIVEIRA LTDA,FARMACIA AGUIA BRANCA,AVENIDA,JOAO QUIUQUI,566,AGUIA BRANCA,CENTRO,ES,,ATIVA,-18.9852439,-40.7379464
02306038000112,WR DROGARIAS LTDA,FARMACIA PRINCIPAL,AVENIDA,JOAO QUIUQUI,292,AGUIA BRANCA,CENTRO,ES,,ATIVA,-18.9852439,-40.7379464
39304241000160,DROGARIA ANGELETE LTDA.,DROGARIA ALEGRENSE,AVENIDA,JERONIMO MONTEIRO,SN,ALEGRE,CENTRO,ES,,ATIVA,-20.7629241,-41.5315722
14497659000100,DOSE CERTA LTDA,DOSE CERTA,RUA,DR. WANDERLEY,218,ALEGRE,CENTRO,ES,,ATIVA,-20.760937785153,-41.533587938889
07665411000145,DROGARIA J. G. MAURI LTDA,DROGARIA CENTRAL,PRAÇA,SEIS DE JANEIRO,284,ALEGRE,CENTRO,ES,,ATIVA,-20.434726924829,-40.362088947576
32498115000144,EUCLYDES E RODRIGUES LTDA,FARMACIA CELSINO FREITAS,RUA,EUCLIDES JACCOUD,49,ALEGRE,RIVE,ES,,ATIVA,-20.758259892817,-41.458597062835
