CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
07281045000120,LILIAN REGINA ALVES E CIA LTDA,FARMACIA CRISTINA,AVENIDA,COMERCIAL,SN,ABADIA DE GOIAS,CENTRO,GO,,ATIVA,-16.762528174234,-49.43540943226
17744867000154,DROGARIA BRANCO LTDA,DROGARIA BRANCO,AVENIDA,GERALDO RODRIGUES DOS SANTOS,1166,ABADIANIA,CENTRO,GO,,ATIVA,-16.202508601666,-48.70460822782
06352740000173,DROGARIA C.H.R. LTDA,DROGARIA FAMILIA,AVENIDA,JK ESQ C/ A RUA MAURILIO BEIRES,S/N,ABADIANIA,CENTRO,GO,,ATIVA,-16.190846900545,-48.710522292513
11378566000178,LEANDRO PEREIRA & CIA LTDA,DROGARIA MOREIRA,AVENIDA,GERALDO RODRIGUES DOS SANTOS,SN,ABADIANIA,SETOR CENTRO,GO,,ATIVA,-16.203604027555,-48.704125152534
05640346000178,DROGARIA PIRES LTDA,DROGARIA PIRES,AVENIDA,PIRENOPOLIS,S/N,ABADIANIA,PLANALMIRA,GO,,ATIVA,-16.205046672282,-48.704948072917
06945665000154,SANDRO GONTIJO CUNHA & CIA LTDA,DROGARIA VITAL,AVENIDA,GERALDO RODRIGUES DOS SANTOS,327-A,ABADIANIA,CENTRO,GO,,ATIVA,-16.194498655771,-48.706747783963
04351694000162,SANTOS E QUEIROZ MEDICAMENTOS E PERFUMARIA LTDA,DROGARIA NOSSA SENHORA APARECIDA,AVENIDA,GERALDO RODRIGUES DOS SANTOS,1152,ABADIANIA,CENTRO,GO,,ATIVA,-16.202390056382,-48.704646290252
12275266000126,DAG DIAS DROGARIA LTDA,FARMACIA DO POVO,RUA,JORDELINA DO CARMO ARANTES,13,ACREUNA,SETOR CENTRAL,GO,,ATIVA,-17.395335457018,-50.382996482482
01752567000187,GOULART COMERCIO DE MEDICAMENTOS LTDA,FARMACIA DROGAVIDA,AVENIDA,ALTINA PIRES ARANTES,23-C,ACREUNA,CENTRO,GO,,ATIVA,-17.402214685029,-50.374315191351
04899807000169,GONCALVES RIBEIRO COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,DESCONTAO,AVENIDA,CORUMBA,141,ACREUNA,CENTRO,GO,,ATIVA,-17.3962233,-50.378486
20105934000103,DROGARIA BRAGA MEDICAMENTOS LTDA,DROGARIA BRAGA,RUA,MARIA MACHADO DE ALMEIDA,117-A,ACREUNA,CENTRO,GO,,INAPTA,-17.392764348426,-50.377341893501
04694359000167,MONTE CRISTO COMERCIO DE MEDICAMENTOS LTDA,DROGARIA CARVALHO,10A RUA,JORDELINA DO CARMO ARANTES,12-B,ACREUNA,CENTRO,GO,,ATIVA,-17.395242232126,-50.382924536592
19203062000129,FARMACIA E DROGARIA CORUMBA LTDA,FARMACIA SANTO REMEDIO,RUA,SAO CRISTOVAO,187,CRISTALINA,RIO DE JANEIRO,GO,,INAPTA,-22.90588216362,-43.21812341754
17601375000100,FARMACIA DA SAUDE LTDA,DROGARIA SUPER POPULAR,AVENIDA,RUI BARBOSA,285,QUIRINOPOLIS,CENTRO,GO,,ATIVA,-18.44822186902,-50.457911770915
02599641000130,LW MEDICAMENTOS LTDA,DROGARIA DROGA VIVA,AVENIDA,DOMINGOS ALVES,00,ADELANDIA,SETOR CENTRAL,GO,,ATIVA,-16.41487472233,-50.163816590095
02463098000149,MAURO SERGIO DO NASCIMENTO,DROGARIA MAIS SAUDE,AVENIDA,DOMINGOS ALVES,665,ADELANDIA,JARDIM PROGRESSO,GO,,ATIVA,-16.41487472233,-50.163816590095
08468455000148,AME-COMERCIAL DE MEDICAMENTOS LTDA,MED FARMA,QUADRA,QUADRA 11,SN,AGUAS LINDAS DE GOIAS,JARDIM DA BARRAGEM V,GO,,ATIVA,-15.76915734744,-48.279966000466
12424176000150,C A B COMERCIAL DE MEDICAMENTOS LTDA,DROGA FLORA,QUADRA,QUADRA 22,S/N,AGUAS LINDAS DE GOIAS,JARDIM AGUAS LINDAS II,GO,,INAPTA,-15.764463781104,-48.284183161228
10776792000144,DROGARIA PEROLA II LTDA,DROGARIA PEROLA,AVENIDA,PORTO VELHO QUADRA 45,01,AGUAS LINDAS DE GOIAS,JARDIM DA BARRAGEM II,GO,,ATIVA,-15.71696741307,-48.290035989271
01276256003104,DROGARIA ALAMEDA LTDA,DROGAFUJI,QUADRA,CLS (COMERCIO) 4 BLOCO B,SN,BRASILIA,RIACHO FUNDO I,DF,,ATIVA,-15.88378,-48.01634
15113471000183,DROGARIA BARBOSA E SILVA EIRELI,DROGARIA SAUDE & VIDA,QUADRA,QUADRA A,S/N,AGUAS LINDAS DE GOIAS,CHACARAS COIMBRA,GO,,BAIXADA,-15.753532930306,-48.25511383059
12648021000105,DROGARIA SUPERACAO LTDA,DROGARIA SUPERACAO,QUADRA,29,S/N,AGUAS LINDAS DE GOIAS,JARDIM BRASILIA,GO,,ATIVA,-15.724746154493,-48.298323051212
12942060000102,DROGARIA DROGAVIVA LTDA,DROGAVIVA,QUADRA,QUADRA 97 LOTE,99,AGUAS LINDAS DE GOIAS,CIDADE DO ENTORNO,GO,,ATIVA,-15.730905533177,-48.345782392819
08807188000196,DROGARIA GARRA LTDA.,DROGAVIVA,QUADRA,2 LOTE,31,AGUAS LINDAS DE GOIAS,JARDIM AMERICA IV,GO,,ATIVA,-15.752551137609,-48.247806873787
03342325000140,DROGARIA LUANA LTDA,DROGARIA LUANA,AVENIDA,TANCREDO NEVES QUADRA 72,02,AGUAS LINDAS DE GOIAS,CIDADE JARDIM,GO,,ATIVA,-15.738031459525,-48.259283184852
10807467000100,DROGARIA MENOR PRECO LTDA,DROGANOSSA,QUADRA,42 CONJUNTO B,01,AGUAS LINDAS DE GOIAS,PARQUE DA BARRAGEM SETOR 02,GO,,ATIVA,-15.769348141651,-48.265727411363
19887246000155,DROGARIA PEROLA III LTDA,DROGARIA PEROLA,AVENIDA,JK QUADRA 40,20,AGUAS LINDAS DE GOIAS,JARDIM BRASILIA,GO,,ATIVA,-15.729340904266,-48.2843181902
05963710000130,FARMOBRAS MEDICAMENTOS LTDA,FARMOBRAS,QUADRA,24,S/N,AGUAS LINDAS DE GOIAS,JARDIM BRASILIA,GO,,ATIVA,-15.764966416095,-48.285658872088
08606206000171,DANIEL FERNANDES COSMETICOS E MEDICAMENTOS,DROGARIA PEROLA COSMETICOS E MEDICAMENTOS,QUADRA,QUADRA 75 AVENIDA TANCREDO NEVES,18,AGUAS LINDAS DE GOIAS,JARDIM PEROLA DA BARRAGEM II,GO,,ATIVA,-15.743257881023,-48.262472100678
11158691000172,CUNHA SILVA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMA POPULAR,QUADRA,QUADRA 6,S/N,AGUAS LINDAS DE GOIAS,CAMPING CLUBE,GO,,ATIVA,-15.781060289394,-48.241536396425
14033036000186,L.S.W-COMERCIO DE MEDICAMENTOS LTDA,DROGA FARMA,AVENIDA,"04, QDA 03",S/N,AGUAS LINDAS DE GOIAS,SETOR 09,GO,,ATIVA,-15.736066942886,-48.281976688726
16870055000192,MELO E ALVES MEDICAMENTOS E COSMETICOS LTDA,DROGARIA BEM ESTAR,RUA,TOCANTINS QUADRA,41B,AGUAS LINDAS DE GOIAS,SETOR 08,GO,,ATIVA,-15.740321196743,-48.289037206505
05476160000125,PARANAIBA & SOUSA COMERCIO DE MEDICAMENTOS LTDA,PRO SAUDE,QUADRA,06,S/N,AGUAS LINDAS DE GOIAS,CAMPING CLUBE,GO,,ATIVA,-15.781060289394,-48.241536396425
61585865041931,RAIA DROGASIL S/A,DROGASIL,RUA,03 QUADRA 03,S/N,CIDADE OCIDENTAL,PARQUE NOVA FRIBURGO A,GO,,ATIVA,-16.132704907159,-47.952135907464
17347863000132,REBRASFARMA DROGARIAS LTDA,REDE DROGASHOP,QUADRA,QUADRA 07,S/N,AGUAS LINDAS DE GOIAS,CAMPING CLUB,GO,,ATIVA,-15.738807266832,-48.318079553474
08893149000159,FARMA ROCHA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,DROGARIA ROCHA,QUADRA,QUADRA 16,S/N,AGUAS LINDAS DE GOIAS,JARDIM GUAIRA I,GO,,ATIVA,-15.766591398115,-48.282842483108
11476318000160,DROGARIA DROGACENTER LTDA,DROGACENTER,AVENIDA,VALE DO SOL,SN,ALEXANIA,CENTRO,GO,,BAIXADA,-16.08058428255,-48.504197236809
10275911000185,DROGARIA GABRIEL LTDA,DROGARIA GABRIEL,AVENIDA,BRASILIA,S/Nº,ALEXANIA,CENTRO,GO,,ATIVA,-16.090217058277,-48.500013743565
01744473000247,DROGARIA JEMIMA LTDA,DROGARIA BOM PRECO,AVENIDA,JK,S/N,ALEXANIA,JARDIM ESPERANCA,GO,,ATIVA,-16.054819637773,-48.531345713166
01744473000166,DROGARIA JEMIMA LTDA,DROGARIA BOM PRECO,RUA, 30,SN,ALEXANIA,CENTRO,GO,,ATIVA,-16.060639314577,-48.539571193453
03388733000133,DROGARIA LUCIO LUCIO LTDA,DROGARIA ALEXANIA,AVENIDA,AVENIDA BRASILIA,271,ALEXANIA,CENTRO,GO,,ATIVA,-16.090217058277,-48.500013743565
02775849000162,DROGARIA MD VITORIA LTDA,REMEDIOS POPULARES,AVENIDA,VALE DO SOL,43,ALEXANIA,CENTRO,GO,,ATIVA,-16.08058428255,-48.504197236809
08511794000160,DROGARIA PROVIDENCIA LTDA,DROGARIA AVENIDA,AVENIDA,BRASILIA,263,ALEXANIA,CENTRO,GO,,ATIVA,-16.090217058277,-48.500013743565
