CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
06626253050922,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,AVENIDA,DESEMBARGADOR TARCITO DE CALDAS,122,ACAILANDIA,CENTRO,MA,,ATIVA,-4.95182445028,-47.50184519812
04899316014178,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,EXTRAFARMA,AVENIDA,DES.TACITO DE CALDAS,129,ACAILANDIA,CENTRO,MA,,ATIVA,-4.951705243465,-47.501902422466
32303358000180,I C F ARAUJO COSTA LTDA,FARMACIA CRISTO REI,AVENIDA,ANTONIO BACELAR,104,AFONSO CUNHA,CENTRO,MA,,ATIVA,-4.135840811717,-43.324012301013
12054866000164,E RODRIGUES DE FRANCA,DROGA CENTRO,RUA,SAO BENEDITO,0000,AGUA DOCE DO MARANHAO,FRECHEIRAS,MA,,ATIVA,-2.839531135053,-42.169849680739
22678811000189,MARIA DO CARMO PEREIRA GOMES NETA,DROGARIA NOSSA SENHORA DO CARMO,PRACA,FRANCISCO A FILHO,SN,AGUA DOCE DO MARANHAO,CANA BRAVA,MA,,ATIVA,-3.0775,-42.28056
06116369000140,WELLYTON S. DOS SANTOS,FARMASANTOS,AVENIDA,JOAO ROSA,414,ALDEIAS ALTAS,CENTRO,MA,,ATIVA,-4.628981766606,-43.473035380054
14762214000100,HUGO RIBEIRO DOS SANTOS JUNIOR,DROGARIA RIBEIRO,RUA,DAMIAO BEZERRA,518,ALTAMIRA DO MARANHAO,CENTRO,MA,,ATIVA,-4.16168172398,-45.466908465604
97533538000101,ALTO FARMA PRODUTOS FARMACEUTICOS LTDA,ALTOFARMA,RUA,BR 316,929,ALTO ALEGRE DO MARANHAO,CENTRO,MA,,ATIVA,-4.254383127029,-44.433050243727
00461980000120,NEWTON RODRIGUES SALES,DROGARIA SALES,PRAÇA,PADRE ANDRE,279,ALTO ALEGRE DO PINDARE,CENTRO,MA,,ATIVA,-3.6740847,-45.8462487
42194968000146,AMARAL LOPES FARMACIAS LTDA,DROGARIA DO POVO,AVENIDA,TOCANTINS,575,ALTO PARNAIBA,SANTO ANTONIO,MA,,ATIVA,-11.5,-48.65
05454346000183,ANA PATRICIA DO AMARAL LOPES,DROGARIA PATRICIA E PERFUMARIA,PRACA,HOMERINO DUARTE SEGADILHA,690,ALTO PARNAIBA,CENTRO,MA,,ATIVA,-9.112202901806,-45.932563128615
41375072000109,ANDRADE & AMORIM LTDA,FARMAIS,AVENIDA,RIO PARNAIBA,1003,ALTO PARNAIBA,CENTRO,MA,,ATIVA,-9.111264531548,-45.935590904287
11229277000107,ALVES CARVALHO & CIA LTDA,FARMACAR,AVENIDA,DEPUTADO LA ROQUE,1519-A,AMARANTE DO MARANHAO,CENTRO,MA,,ATIVA,-5.5665014,-46.7435115
07368478000118,M. A. C. R. MEDICAMENTOS LTDA,DROGACENTER,AVENIDA,DEPUTADO LA ROQUE,1418,AMARANTE DO MARANHAO,CENTRO,MA,,ATIVA,-5.5665014,-46.7435115
19896181000104,P W PASSOS DOS SANTOS,,PRACA,DA VITORIA,01,ANAJATUBA,CENTRO,MA,,ATIVA,-3.263836320036,-44.616829551469
23672686000162,S SILVEIRA DE ARAUJO,FARMACIA JULLIANA,AVENIDA,DR PAULO RAMOS,135,ARAIOSES,CONCEICAO,MA,,BAIXADA,-2.87046167494,-41.908595542637
15590576000123,B. M. R. LIMA SANTOS,FARMACIA POPULAR,AVENIDA,DEPUTADO ULISSES GUIMARAES,996,ARAME,CENTRO,MA,,ATIVA,-4.892724031083,-46.01185285755
45161463000173,HIPER POPULAR ARARI LTDA,HIPER POPULAR DROGARIAS,AVENIDA,DR JOAO DA SILVA LIMA,40,ARARI,CENTRO,MA,,ATIVA,-3.457381524034,-44.776500490966
15717785000195,M A DA S L FERREIRA,AXIFARMA,AVENIDA,SEN JOSE SARNEY,SN,AXIXA,CENTRO,MA,,ATIVA,-2.523372218859,-44.296958025058
63503007002513,EMPREENDIMENTOS FARMACEUTICOS GLOBO LTDA,DROGARIA GLOBO,RUA,GETULIO VARGAS,02,BACABAL,CENTRO,MA,,ATIVA,-4.234280495082,-44.780194668463
06626253038981,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,RUA,GETULIO VARGAS,25,BACABAL,CENTRO,MA,,ATIVA,-4.232492006492,-44.777996262898
41497843000122,M G S CORREIA & CIA LTDA,,RUA,BENEDITO LEITE,440,BACABAL,CENTRO,MA,,BAIXADA,-4.231677622456,-44.777277023027
05756897000100,M. T. DA CRUZ NUNES RIBEIRO,,RUA,MAGALHAES DE ALMEIDA,725-A,BACABAL,CENTRO,MA,,ATIVA,-4.227670319798,-44.782573042649
