CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
04426259000150,MARIANA TOMAS CHICARINO LTDA,FARMACIA N S ABADIA,PRACA,MANOEL ESTEVES DOS SANTOS,390,ABADIA DOS DOURADOS,CENTRO,MG,,ATIVA,-18.488236625011,-47.404135776681
11339760000144,PRODUTOS FARMACEUTICOS NUNES ROCHA LTDA,FARMACIA PARA TODOS,AVENIDA,ADAO FERREIRA DE CAMARGOS,520,CRUZEIRO DA FORTALEZA,BREJO BONITO,MG,,ATIVA,-19.006783309704,-46.609577678399
11345779000101,DROGARIA TOMAS RAMOS LTDA,DROGARIA SANTA CECILIA,AVENIDA,BENEDITO TEODORO DA SILVA,399,ABADIA DOS DOURADOS,CENTRO,MG,,ATIVA,-18.486163610819,-47.404454391172
11916556000149,FARMACIA QUEIROZ CANEDO LTDA,FARMACIA MILIGRAMA,RUA,TIRADENTES,25,ABADIA DOS DOURADOS,CENTRO,MG,,ATIVA,-18.481562784166,-47.404481213263
16505364000163,LUCIO DA FONSECA BARBOSA FILHO SOCIEDADE UNIPESSOAL LIMITADA,DROGARIA ABAETE DRUGSTORE,PRACA,DOUTOR CANUTO,378,ABAETE,CENTRO,MG,,ATIVA,-18.646356755179,-48.176062629322
16929325000193,DROGARIA ANDRADE DE ABAETE LTDA,DROGARIA MOURA,RUA,DR ANTONIO AMADOR,314,ABAETE,CENTRO,MG,,ATIVA,-19.151248341308,-45.441668654361
42965335000194,DROGARIA E PERFUMARIA BUENO DE CARVALHO LTDA.,DROGARIA SAO GERALDO,RUA,FREI ORLANDO,315,ABAETE,CENTRO,MG,,ATIVA,-19.162332745937,-45.45536375175
09253756000117,DROGARIA E PERFUMARIA FAGUNDES DE ABAETE LTDA,DROGAMASTER,RUA,FREI ORLANDO,160,ABAETE,CENTRO,MG,,ATIVA,-19.15726161057,-45.445454337376
22216972000150,DROGARIA E PERFUMARIA SANTANA LTDA,.,RUA,DR ANTONIO AMADOR,605,ABAETE,CENTRO,MG,,ATIVA,-19.156939913126,-45.454478378154
25919440000178,DROGARIA FREI ORLANDO ABAETE LTDA,,RUA,DR ANTONIO AMADOR,192,ABAETE,CENTRO,MG,,ATIVA,-19.155130385959,-45.451282190835
25919440000259,DROGARIA FREI ORLANDO ABAETE LTDA,,AVENIDA,PEDRO ALVES,455,ABAETE,SAO PEDRO,MG,,ATIVA,-19.172642184769,-45.435914592604
16505372000100,DROGARIA NOSSA SENHORA DAS GRACAS DE ABAETE LTDA,DROGARIA NOSSA SENHORA DAS GRACAS,RUA,FREI ORLANDO,310,ABAETE,CENTRO,MG,,ATIVA,-19.157955296877,-45.446799968112
23761182000119,DROGARIA SAO JOAO DE ABAETE LTDA,DROGARIA SAO JOAO DE ABAETE,RUA,ANTONIO MACHADO DE ANDRADE,853,ABAETE,SAO JOAO,MG,,BAIXADA,-19.15077515574,-45.456536044731
19196916000197,DROGARIA SAO JUDAS TADEU DE ABAETE LTDA,DROGARIA ULTRAPOPULAR,RUA,FREI ORLANDO,259,ABAETE,CENTRO,MG,,ATIVA,-19.157544726827,-45.444938887856
00494231000107,DROGARIA SOUSA & SOUSA ABAETE LTDA,DROGARIA SANTA EDWIGES,AVENIDA,BARAO DO INDAIA,670,ABAETE,CENTRO,MG,,ATIVA,-19.159023442509,-45.443991589389
97525612000130,LF COMERCIO DE MEDICAMENTOS DE ABAETE LTDA,DROGARIA AMERICANA ABAETE,RUA,FREI ORLANDO,216,ABAETE,CENTRO,MG,,ATIVA,-19.157445867811,-45.445000485537
03491660000100,MANUFARMA SAO JUDAS TADEU LTDA,,RUA,DONA ALDA VIANA,244,ABAETE,CENTRO,MG,,ATIVA,-19.158642906256,-45.445520079886
03544134000161,NEOFARMA DROGARIA E PERFUMARIA LTDA,DROGA REDE NEOFARMA-DRUGSTORE,RUA,FREI ORLANDO,253,ABAETE,CENTRO,MG,,ATIVA,-19.157601585023,-45.445052783715
07521808000163,ANDREA MARCIA CLEMENTE COELHO LACERDA,PHARMACIA ART & FORMULA,RUA,BENEDITO VALADARES,44,ABRE CAMPO,CENTRO,MG,,ATIVA,-20.299523506961,-42.478158113986
17451364000190,DROGARIA ABRE CAMPO LTDA.,AMERICANA SAUDE,RUA,ADALBERTO LEAO,07,ABRE CAMPO,CENTRO,MG,,ATIVA,-19.859162504283,-43.903612372268
08043502000101,DROGARIA CENTRAL ABRE CAMPO LTDA,DROGARIA CENTRAL,AVENIDA,RAUL SOARES,87,ABRE CAMPO,CENTRO,MG,,ATIVA,-20.300491453856,-42.477250960166
03094635000193,DROGARIA SANTANA FRADE LTDA,DROGARIA SANTANA FRADE,PRACA,TIRADENTES,76,ABRE CAMPO,CENTRO,MG,,ATIVA,-20.299637606016,-42.478148687439
04478157000188,FARMACIA LIRIOS DO VALE LTDA,FARMA LIRIOS DROGARIA & CIRURGICA,RUA,CALCADAO HERMESILIA,27,ABRE CAMPO,CENTRO,MG,,ATIVA,-18.574372600832,-46.505428078883
21754080000140,DRUGSTORE MARIA E ALEXANDRE LTDA,DROGARIA LIMA AGUIAR,TRAVESSA,PRESIDENTE DUTRA,25,ABRE CAMPO,CENTRO,MG,,BAIXADA,-20.30117856302,-42.475961384615
03559343000189,DROGARIA ACAIACA LTDA,DROGARIA ACAIACA,RUA,SAO GONCALO,28,ACAIACA,CENTRO,MG,,ATIVA,-21.1383450202,-44.260666048148
11207416000100,DROGARIA ELIAS LTDA,,RUA,ADAO ROLIM,25,ACAIACA,CENTRO,MG,,ATIVA,-20.364441783277,-43.141704470699
05746091000122,DROGARIA AMARAL LTDA,DROGARIA AMARAL,RUA,ALVINA,23,ACUCENA,CENTRO,MG,,ATIVA,-19.819105462466,-41.444512811427
11873835000172,DROGARIA ENIFARMA LTDA,DROGARIA ENIFARMA,RUA,TREZE DE MAIO,159,AGUA BOA,CENTRO,MG,,ATIVA,-17.991690134276,-42.392506244325
08654416000135,DROGARIA JPM LTDA,DROGAVIDA,RUA,JOSE GODINHO SOBRINHO,152,AGUA BOA,CENTRO,MG,,ATIVA,-17.9952549832,-42.390079829913
05035683000136,TALMO ANDRADE DUARTE,DROGARIA CRISTAL,RUA,DARCI ALVES DE OLIVEIRA,58,AGUA BOA,CENTRO,MG,,ATIVA,-17.992600342474,-42.39102422562
01771038000120,DROGARIA LUIZA LTDA,DROGARIA LUIZA,RUA,JOAQUIM ALVES,30,AGUANIL,CENTRO,MG,,ATIVA,-20.943322382375,-45.391171875126
