CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
13304645000160,BENARDETE DE LOURDES SANCHES,DROGA CENTER,AVENIDA,JULIO MAIA,1062,AGUA CLARA,CENTRO,MS,,ATIVA,-20.44428722551,-52.898309489306
18208965000130,BRUNO CESAR BORGES,FARMACIA DO POVO,RUA,FRANCISCO VIEIRA,22,AGUA CLARA,JARDIM NOVA AGUA CLARA,MS,,ATIVA,-20.445054904473,-52.883638115049
00086309000146,EDUARDO GOMES RABELLO,FARMANOVA,AVENIDA,JULIO MAIA,1127,AGUA CLARA,CENTRO,MS,,ATIVA,-20.44428722551,-52.898309489306
09398035000103,NEILA CATARINA BORGES,FARMA NOVA,RUA,FRANCISCO VIEIRA,26,AGUA CLARA,JARDIM NOVA AGUA CLARA,MS,,ATIVA,-20.445028001292,-52.883631223804
00694663000153,SAVIA CHRISTINA BERALDO COSTA LUCIANO LTDA,DROGARIA MODELO,AVENIDA,ADOLFO ALVES CARNEIRO,1243,ALCINOPOLIS,CENTRO,MS,,ATIVA,-18.3246392664,-53.707397555031
33193160000153,DROGARIA BIOFARMA LTDA,BIOFARMA,RUA,RIO BRANCO,1180,AMAMBAI,CENTRO,MS,,ATIVA,-23.102071940634,-55.229756975766
03377845000199,FARMACIA TOBIAS LTDA,DROGARIA SAO JOSE,RUA,DA REPUBLICA,3299,AMAMBAI,CENTRO,MS,,ATIVA,-23.126717814765,-55.216777667808
03100938000171,MAURICIO & FERNANDES LTDA,FARMACIA DO EDSON,AVENIDA,PEDRO MANVAILER,2878,AMAMBAI,CENTRO,MS,,ATIVA,-23.09948607946,-55.233487341893
10695648000183,MAZZUCO & CIA LTDA,FARMACIA POPULAR,AVENIDA,PEDRO MANVAILER,3227,AMAMBAI,CENTRO,MS,,ATIVA,-23.09948607946,-55.233487341893
15418205008658,SAO BENTO COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA EM RECUPERACAO JUDICIAL,DROGARIA SAO BENTO,AVENIDA,PEDRO MANVAILER,3487,AMAMBAI,CENTRO,MS,,BAIXADA,-23.09948607946,-55.233487341893
33117292000104,SERAFIM & MORAES LTDA,FARMACIA SAO PAULO,AVENIDA,PEDRO MANVAILER,3071,AMAMBAI,CENTRO,MS,,ATIVA,-23.09948607946,-55.233487341893
11674137000148,IVANA RODRIGUES DE OLIVEIRA,MEGA FARMA,AVENIDA,MANOEL MURTINHO,2121,ANASTACIO,CENTRO,MS,,ATIVA,-20.483626,-55.8002709
03995527000191,UMADA & QUEIROZ LTDA,DROGARIA FARMASSUL,AVENIDA,MATO GROSSO,791,ANAURILANDIA,CENTRO,MS,,ATIVA,-22.1850219,-52.7189227
