CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
09480703000139,DROGARIA ACORIZAL LTDA,DROGARIA ACORIZAL,AVENIDA,HONORATO PEDROSO DE BARROS,S/N,ACORIZAL,CENTRO,MT,,ATIVA,-15.200849426796,-56.363174419889
07237665000162,HELENISA T K WIEDTHEUPER & CIA LTDA,DROGARIA DINAMICA,RUA,04,93,AGUA BOA,CENTRO,MT,,ATIVA,-14.060485222461,-52.156450136671
15059340000165,DROGARIA DROGA TEM FARMACIA POPULAR LTDA.,DROGARIA DROGA TEM,AVENIDA,ARAGUAIA,1199,AGUA BOA,CENTRO II,MT,,ATIVA,-14.050475926105,-52.159319520134
17476547000160,J M DOS SANTOS & CIA LTDA,DROGA FACIL,AVENIDA,JULIO CAMPOS,304,AGUA BOA,CENTRO,MT,,ATIVA,-14.058270488218,-52.157164632734
24724080000196,CL FARMA LTDA,FARMACIA MATOGROSSENSE,AVENIDA,TROPICAL,388,AGUA BOA,CENTRO,MT,,ATIVA,-14.051689109961,-52.166510105442
10272380000177,DROGARIA EXPANSAO LTDA,EXPANSAO,AVENIDA,LUDOVICO DA RIVA NETO,2154,ALTA FLORESTA,SETOR F,MT,,ATIVA,-9.88024648739,-56.085554461966
09341859000139,R. ARIATI - DROGARIA,DROGARIA BOM JESUS,AVENIDA,MATO GROSSO,445,ALTA FLORESTA,SETOR NORTE 1,MT,,ATIVA,-9.86040170298,-56.078560434318
05072221000199,DROGARIA DO PAULINHO LTDA,DROGARIA DO PAULINHO,AVENIDA,LUDOVICO DA RIVA NETO,2412,ALTA FLORESTA,SETOR D,MT,,ATIVA,-9.878367013241,-56.085162691812
06131287000175,ECONOMICA DROGARIA E FARMACIA LTDA,DROGARIA ECONOMICA,AVENIDA,LUDOVICO DA RIVA NETO,2.950,ALTA FLORESTA,CENTRO,MT,,ATIVA,-9.8829924,-56.0863577
08087667000428,ECONOMIZAR COMERCIO DE PRODUTOS FARMACEUTICOS S/A,REDE DE FARMACIAS ECONOMIZAR,AVENIDA,LUDOVICO DA RIVA NETO,2742,ALTA FLORESTA,CENTRO,MT,,ATIVA,-9.873063060959,-56.083879836543
08087667000690,ECONOMIZAR COMERCIO DE PRODUTOS FARMACEUTICOS S/A,REDE DE FARMACIAS ECONOMIZAR,AVENIDA,ANDRE ANTONIO MAGGI,6991,SINOP,RESIDENCIAL DAS ACACIAS,MT,,ATIVA,-11.824004558396,-55.510369002529
03461468000171,FARMACIA E DROGARIA RIMO LTDA,AURORA DROGARIA E MANIPULACAO,AVENIDA,LUDOVICO DA RIVA NETO,3180,ALTA FLORESTA,CENTRO,MT,,ATIVA,-9.871532629519,-56.083309843358
24767501000166,FARMACIA REAL DE ALTA FLORESTA LTDA,FARMACIA REAL,AVENIDA,MATO GROSSO,1447,ALTA FLORESTA,CIDADE ALTA,MT,,ATIVA,-9.851844198933,-56.07597361136
11467934000154,BARBON COMERCIO DE MEDICAMENTOS LTDA,DROGARIA NACIONAL,RUA,DR ULISSES GUIMARAES,231,ALTA FLORESTA,SETOR D,MT,,ATIVA,-9.87708508497,-56.082570923531
15946916000106,J. M. M. RODRIGUES & CIA LTDA,FARMACIA E DROGARIA BIOTEC,AVENIDA,LUDOVICO DA RIVA NETO,2600,ALTA FLORESTA,CENTRO,MT,,ATIVA,-9.87674050493,-56.084710488135
07390334000168,DROGARIA LUCAS E CARVALHO LTDA,DROGARIA AVENIDA,AVENIDA,LUDOVICO DA RIVA NETO,980,ALTA FLORESTA,CENTRO,MT,,ATIVA,-9.8829924,-56.0863577
01134776000167,SANTOS & SILVA LTDA,DROGARIA SAO PAULO,AVENIDA,LUDOVICO DA RIVA NETO,1874,ALTA FLORESTA,SETOR F,MT,,ATIVA,-9.882655404453,-56.085854031186
37522695000181,DROGARIA 5 S LTDA,DROGARIAS SUPER MODELO POPULAR,AVENIDA,ARIOSTO DA RIVA,2505,ALTA FLORESTA,SETOR CANTEIRO CENTRAL,MT,,ATIVA,-9.877757956525,-56.086388748333
19828211000145,R. E. MORAIS E PEREIRA PINTO LTDA,VIDA SAUDE DROGARIA,AVENIDA,MARIO RASEIRA LEINIG,531,ALTA FLORESTA,SETOR F,MT,,ATIVA,-9.881849107278,-56.080906109922
10641416000142,DROGARIA DA AMERICA LTDA,DESCONTO FACIL,AVENIDA,BOM PASTOR,626,ALTA FLORESTA,CIDADE ALTA,MT,,ATIVA,-9.8770132,-56.0855674
