CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
83754234002103,DISTRIBUIDORA BIG BENN SA FALIDO,,AVENIDA,PEDRO RODRIGUES,273,ABAETETUBA,CENTRO,PA,,BAIXADA,-1.724406350972,-48.889266244589
06626253042407,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIAS PAGUE MENOS,RUA,BARAO DO RIO BRANCO,1516,ABAETETUBA,CENTRO,PA,,ATIVA,-1.723900200671,-48.888686685305
04899316010008,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,FARMACIA EXTRA FARMA,AVENIDA,DOM PEDRO II,255,ABAETETUBA,CENTRO,PA,,ATIVA,-1.723221594116,-48.889097433233
10266164000119,L T DOS SANTOS COMERCIO,DROGARIA FILEMON,AVENIDA,ALACID NUNES,166,ABEL FIGUEIREDO,CENTRO,PA,,BAIXADA,-4.955590773293,-48.399930425486
18255700000192,V PRUDENTE NETO MEDICAMENTOS,REDE MINAS FARMA,AVENIDA,ALACID NUNES,184,ABEL FIGUEIREDO,CENTRO,PA,,ATIVA,-4.955590773293,-48.399930425486
02143282000101,F A DA COSTA PINHEIRO,FARMACIA PINHEIRO,AVENIDA,FERNANDO GUILHON,S/N,ACARA,CENTRO,PA,,ATIVA,-1.9618353,-48.1996426
50809007000127,ALVES E LOPES LTDA,FARMACIA BAIXO PRECO,AVENIDA,LAGO AZUL,1187,AGUA AZUL DO NORTE,CENTRO,PA,,ATIVA,-6.802776,-50.4672676
83754234007164,DISTRIBUIDORA BIG BENN SA FALIDO,DROGARIA BIG BENN,AVENIDA,DJALMA DUTRA,1972,ALTAMIRA,CENTRO,PA,,BAIXADA,-3.206978809651,-52.213390875707
03339755000103,EXTRAPHARMA LTDA,DROGAMIL,AVENIDA,DJALMA DUTRA,1990,ALTAMIRA,CENTRO,PA,,ATIVA,-3.207097287852,-52.213487016137
04910234000127,FARMACIA E DROGARIA CONFIANCA LTDA,DROGARIA CONFIANCA,TRAVESSA,PEDRO GOMES,782,ALTAMIRA,CENTRO,PA,,ATIVA,-3.207484699417,-52.216041401129
03851893000177,H. E. LOPES & CIA LTDA,DROGA MINAS,AVENIDA,JOAO COELHO,1057,ALTAMIRA,BRASILIA,PA,,ATIVA,-3.196999687295,-52.211728282676
11345877000130,J M DE ARAUJO CONCEICAO COMERCIO LTDA,DROGARIA PRIMAVERA MIX POPULAR,TRAVESSA,PEDRO GOMES,678,ALTAMIRA,CENTRO,PA,,ATIVA,-3.208277844961,-52.21510500433
10250864000115,LACERDA COMERCIO DE MEDICAMENTOS LTDA,FARMACIA LACERDA,AVENIDA,DJALMA DUTRA,2082,ALTAMIRA,CENTRO,PA,,ATIVA,-3.208557901135,-52.214617484535
14036859000165,O S MARCIANO E CIA LTDA,DROGARIA STORCH E DISTRIBUIDORA DE MEDICAMENTOS,AVENIDA,DJALMA DUTRA,2104,ALTAMIRA,CENTRO,PA,,INAPTA,-3.208581294187,-52.214635676344
04710802000146,R. SANTIAGO LTDA,MAZAL FARMA,TRAVESSA,PEDRO GOMES,632,ALTAMIRA,CENTRO,PA,,INAPTA,-3.208465229331,-52.214835472584
10849019000160,REGINALDO SANTIAGO,DROGARIA FAVORITA,AVENIDA,BOM JESUS,2247,ALTAMIRA,MUTIRAO,PA,,INAPTA,-3.1755185,-52.2143452
00691191000185,U. SALES & CIA LTDA,FARMACIA SALES,TRAVESSA,AGRARIO CAVALCANTE,770,ALTAMIRA,CENTRO,PA,,SUSPENSA,-3.206165806952,-52.214778583597
83754234001123,DISTRIBUIDORA BIG BENN SA FALIDO,,RODOVIA,BR 316,1280,ANANINDEUA,CENTRO,PA,,BAIXADA,-1.404015029186,-48.429488665232
83754234001476,DISTRIBUIDORA BIG BENN SA FALIDO,,,CIDADE NOVA I,S/N,ANANINDEUA,COQUEIRO,PA,,BAIXADA,-1.35321,-48.42537
83754234002286,DISTRIBUIDORA BIG BENN SA FALIDO,,CONJUNTO,CIDADE NOVA VIII,442,ANANINDEUA,COQUEIRO,PA,,BAIXADA,-1.36120829329,-48.405954608883
83754234016406,DISTRIBUIDORA BIG BENN SA FALIDO,,RODOVIA,MARIO COVAS,32 A,ANANINDEUA,COQUEIRO,PA,,BAIXADA,-1.34408453329,-48.440326942346
83754234000909,DISTRIBUIDORA BIG BENN SA FALIDO,,TRAVESSA,WE 64,302,ANANINDEUA,COQUEIRO,PA,,BAIXADA,-1.354177615041,-48.389127478991
83754234015698,DISTRIBUIDORA BIG BENN SA FALIDO,,RUA,WE 69 SN 23,662,ANANINDEUA,COQUEIRO,PA,,BAIXADA,-1.35196280802,-48.385604919968
83754234001557,DISTRIBUIDORA BIG BENN SA FALIDO,DROGARIA BIG BENN,RODOVIA,BR 316,S/N,ANANINDEUA,GUANABARA,PA,,BAIXADA,-1.403935852387,-48.429781468145
83754234009965,DISTRIBUIDORA BIG BENN SA FALIDO,BIG BENN,RODOVIA,BR 316,1962,ANANINDEUA,GUANABARA,PA,,BAIXADA,-1.403970396775,-48.429433539308
83754234008489,DISTRIBUIDORA BIG BENN SA FALIDO,DROGARIA BIG BENN,TRAVESSA,"SN 21, LOTES 25 A 28",S/N,ANANINDEUA,PAAR,PA,,BAIXADA,-1.359532272538,-48.391705928632
12288258000114,E REIS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,DROGANORTE,RODOVIA,BR 316,1330,ANANINDEUA,CENTRO,PA,,ATIVA,-1.404011757015,-48.429484623742
06626253009299,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,AVENIDA,CLAUDIO SANDERS,80,ANANINDEUA,CENTRO,PA,,ATIVA,-1.366367505535,-48.373700628684
06626253038124,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIAS PAGUE MENOS,TRAVESSA,SN-24 (CIDADE NOVA VI),302,ANANINDEUA,CIDADE NOVA,PA,,ATIVA,-1.34594,-48.40822
06626253015930,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,CONJUNTO,PREFEITO ABELARDO LEAO CONDURU,1,ANANINDEUA,COQUEIRO,PA,,ATIVA,-1.376362903306,-48.410678527367
63864771000813,FORMOSA SUPERMERCADOS E MAGAZINE LTDA,FORMOSA,TRAVESSA,SN-17 (CIDADE NOVA IV/V),S/N,ANANINDEUA,COQUEIRO,PA,,ATIVA,-1.36951481639,-48.405958998446
04899316001351,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,FARMACIA EXTRAFARMA,RODOVIA,BR 316,4055,BELEM,CASTANHEIRA,PA,,ATIVA,-1.405148587022,-48.432363403617
04899316001785,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,FARMACIA EXTRAFARMA,RODOVIA,BR 316 KM 09 - AV MAGALHAES BARATA,1360,ANANINDEUA,CENTRO,PA,,ATIVA,-8.260126096793,-49.266088689151
04899316004962,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,EXTRA FARMA,AVENIDA,SETE DE SETEMBRO,624,SALVADOR,DOIS DE JULHO,BA,,ATIVA,-12.983036689918,-38.515634582618
04899316012205,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,FARMACIA EXTRA FARMA,RUA,ANTONIO BARRETO,1320,BELEM,UMARIZAL,PA,,ATIVA,-1.442949352253,-48.476874274803
04899316001270,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,FARMACIA EXTRAFARMA,AVENIDA,"SN 21, QUADRA 129,",19,ANANINDEUA,COQUEIRO,PA,,ATIVA,-1.35252028301,-48.444888130038
04899316001947,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,FARMACIA EXTRAFARMA,,TV. WE 8 A,161,ANANINDEUA,COQUEIRO,PA,,ATIVA,-1.340156263365,-48.438565073739
04899316010261,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,FARMACIA EXTRA FARMA,TRAVESSA,WE 39,461,ANANINDEUA,COQUEIRO,PA,,ATIVA,-1.357515270154,-48.399909483419
04899316012477,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,FARMACIA EXTRA FARMA,TRAVESSA,WE 65 - SN 24,752,ANANINDEUA,COQUEIRO,PA,,ATIVA,-1.35321,-48.42537
04899316003567,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,FARMACIA EXTRAFARMA,AVENIDA,GENTIL BITTENCOURT,1038,BELEM,NAZARE,PA,,ATIVA,-1.455403282472,-48.483332575035
08064780000145,O NASCIMENTO DA SILVA,FARMACIA GLORIA A DEUS,TRAVESSA,WE 54,41 A,ANANINDEUA,COQUEIRO,PA,,ATIVA,-1.358907333854,-48.391213415576
83356527000180,CARLIN FELIPE DE ANDRADE,DROGA EXTRA,AVENIDA,NOSSA SENHORA APARECIDA,10,ANAPU,NOVO PANORAMA,PA,,BAIXADA,-3.47207081855,-51.199898033361
38086222000141,COSTA CORREA & FREITAS LTDA,ROSA FARMA,TRAVESSA,MANOEL AVELINO ALVES,224,AUGUSTO CORREA,SANTA CRUZ,PA,,ATIVA,-1.023507221011,-46.6408982745
04758804000105,J. E. ARRUDA,,AVENIDA,BERNARDO SAYAO,595,AURORA DO PARA,CENTRO,PA,,ATIVA,-1.467141748258,-48.501813338727
41289332000115,DROGARIA BRAGA BAIAO LTDA,DROGARIA BRAGA BAIAO,RUA,LEVINDO ROCHA,20,BAIAO,CENTRO,PA,,ATIVA,-2.792107298656,-49.67193102572
83754234013644,DISTRIBUIDORA BIG BENN SA FALIDO,DISTRIBUIDORA BIG BENN LTDA,LOTEAMENTO,"25,26,27",S/N,BARCARENA,OPERACOES VILA DOS CABANOS,PA,,BAIXADA,-1.5224533,-48.6190265
04899316002080,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,FARMARCIA EXTRAFARMA,AVENIDA,GOVERNADOR JOSE MALCHER,1376,BELEM,NAZARE,PA,,ATIVA,-1.449638419528,-48.48133733891
34922195000149,JULIANA M PEDRO COMERCIO & CIA LTDA,FARMACIA JULIANA,RUA,SANTAREM,45,BARCARENA,VILA DO CONDE,PA,,ATIVA,-1.5673891,-48.767573
11949239000129,J N R DA SILVA JUNIOR LTDA,FARMACIA MARIANA,RUA,MULATO FLORINDO,01,BARCARENA,NUCLEO URBANO,PA,,ATIVA,-1.512995177464,-48.683060041472
83754234003410,DISTRIBUIDORA BIG BENN SA FALIDO,DROGARIA BIG BENN,RODOVIA,AUGUSTO MONTENEGRO,39,BELEM,AGULHA,PA,,BAIXADA,-1.302632096364,-48.467346727134
