CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
06182651000126,WELANIA TECIA VIRGOLINO DE MELO LEITE FARMACIA LTDA,ALAN FARMA,RUA,PADRE ARISTIDES,15,AGUA BRANCA,CENTRO,PB,,ATIVA,-7.514210575002,-37.640997870121
09312570000191,FARMACIA NOVA AGUIAR LTDA,,RUA,ABILIO FAUSTINO,SN,AGUIAR,CENTRO,PB,,ATIVA,-7.093035,-38.1721482
08815100000340,INTERFARMA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,VAREJAO INTERFARMA,RUA,DR. FRANCISCO MONTENEGRO,404,ALAGOA GRANDE,CENTRO,PB,,ATIVA,-7.036121385368,-35.633622382277
05899028000126,EUDO ALVES RODRIGUES FARMACIA,FARMACIA DOS APOSENTADOS,RUA,CLEMENTINO LEITE,156,ALAGOA NOVA,CENTRO,PB,,ATIVA,-7.060490453,-35.760412809613
13937078000189,MC MEDICAMENTOS COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA,ERICKAFARMA,RUA,PRESIDENTE JOAO PESSOA,250,ALAGOA NOVA,CENTRO,PB,,ATIVA,-7.060185380774,-35.761492576339
49286061000156,ALAGOINHA MEDICAMENTOS DE PRODUTOS FARMACEUTICOS LTDA,TRABALHADOR DO VALE,RUA,PADRE AFONSO,518,ALAGOINHA,CENTRO,PB,,ATIVA,-6.9504753,-35.5462144
33010001000176,FARMASSA COMERCIO DE MEDICAMENTOS LTDA,FARMASSA ALAGOINHA,RUA,TENENTE MOURA,17,ALAGOINHA,CENTRO,PB,,ATIVA,-6.949936992931,-35.545816819903
01273561000127,ROSALIA GOMES CAVALCANTE,FARMACIA NOSSA SENHORA APARECIDA,RUA,JOAO PESSOA,125,ALHANDRA,CENTRO,PB,,ATIVA,-7.435898616647,-34.912885229528
07465299000107,DANTAS & SUCUPIRA LTDA,FARMACIA ACAUA MEDICAMENTOS,RUA,OLINTO JOSE DE ALMEIDA,247,APARECIDA,CENTRO,PB,,ATIVA,-6.872533438632,-36.917470898771
01446726000115,DANTAS E SOARES COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA,,RUA,ANTONIO AMANCIO PIRES,231,APARECIDA,CENTRO,PB,,ATIVA,-6.786025274341,-38.08487422278
06890277000113,FATIMA DE SOUZA RODRIGUES,DROGARIA NOSSA SENHORA DE FATIMA,RUA,FELIPE RODRIGUES,18,ARACAGI,CENTRO,PB,,ATIVA,-6.852668076523,-35.383537403518
11324667000166,NUNES & VIEIRA LTDA,FARMACIA DESCONTAO,RUA,PROFESSORA MARIA DO CARMO,49,ARACAGI,CENTRO,PB,,ATIVA,-6.853191407691,-35.380150632403
08370620000124,COMERCIAL DE MEDICAMENTOS PEDROSA LTDA.,DROGARIA PEDROSA,AVENIDA,PRESIDENTE EPITACIO PESSOA,40,ARARA,CENTRO,PB,,ATIVA,-7.058551496388,-35.310907696984
01422330000138,MARIA DO CARMO LAUREANO,DROGARIA SAO FRANCISCO,RUA,CORONEL PEDRO TARGINO,461,ARARUNA,CENTRO,PB,,ATIVA,-6.532260265384,-35.73910271398
04650744000102,DROGARIA BOM JESUS LTDA,DROGARIA BOM JESUS,AVENIDA,EPITACIO PESSOA,SN,ARARUNA,CENTRO,PB,,ATIVA,-6.530694105973,-35.741358831479
08629796000158,FARMACIA BOM JESUS LTDA,FARMACIA BOM JESUS,RUA,SANTA RITA,210,AREIA,CENTRO,PB,,BAIXADA,-6.966822830028,-35.702384345913
07179323000214,CRISTIANE DINIZ COSTA DELGADO,ESPERACAFARMA,RUA,SAO JOSE,774,AREIAL,CENTRO,PB,,ATIVA,-7.04905575399,-35.925288179067
41127861000112,JOAO DE DEUS RODRIGUES DE OLIVEIRA,FARMACENTRO,RUA,SAO JOSE,768,AREIAL,CENTRO,PB,,ATIVA,-7.049074509855,-35.925327099499
40979569000165,GILRENE DE OLIVEIRA SOUSA MUNIZ,,RUA,EPITACIO PESSOA,25,AROEIRAS,CENTRO,PB,,ATIVA,-7.545260025799,-35.706151030576
12736021000159,WANDERLENE DINIZ,,RUA,TEREZA BALDUINO DA NOBREGA,218,ASSUNCAO,CENTRO,PB,,ATIVA,-7.072576287205,-36.724756381474
