CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
01143535000184,HILDA MARIA SILVA DE SOUZA,,RUA,CENTO E NOVENTA E TRES,6,ABREU E LIMA,CAETES I,PE,,ATIVA,-7.921466207095,-34.931371014068
10857260000301,REDE CENTER FARMA LTDA,CENTER FARMA,AVENIDA,JERONIMO GUEIROS,223,ABREU E LIMA,CENTRO,PE,,ATIVA,-7.905175922956,-34.899723154287
13151471000142,PH DA SILVA MEDICAMENTOS LTDA,,RUA,ANANIAS LACERDA DE ANDRADE,398,ABREU E LIMA,JARDIM CAETES,PE,,ATIVA,-7.908635995303,-34.90870681825
61585865109676,RAIA DROGASIL S/A,,AVENIDA,DUQUE DE CAXIAS,85,ABREU E LIMA,ALTO DA BELA VISTA,PE,,ATIVA,-7.903694085142,-34.901482880842
04100973000153,FARMACIA MAIS BOMPRECO LTDA,FARMACIA BOMPRECO,AVENIDA,RIO BRANCO,268,AFOGADOS DA INGAZEIRA,CENTRO,PE,,ATIVA,-7.749173211748,-37.636820700782
24556482000129,FARMACIA DOS MUNICIPIOS AFOGADOS LTDA,,RUA,DR. ROBERTO NOGUEIRA LIMA,54 - A,AFOGADOS DA INGAZEIRA,CENTRO,PE,,ATIVA,-7.750420103665,-37.637557218614
24556482000200,FARMACIA DOS MUNICIPIOS AFOGADOS LTDA,,AVENIDA,MANOEL BORBA,73,AFOGADOS DA INGAZEIRA,CENTRO,PE,,ATIVA,-7.748819411615,-37.639336696658
05492447000149,C R MACEDO PRODUTOS FARMACEUTICOS LTDA,FARMACIA NOSSA SENHORA APARECIDA,RUA,CORONEL JUBILINO CAVALCANTI,137,AFRANIO,CENTRO,PE,,ATIVA,-8.514663790707,-41.006026373948
07628607000160,K. J. DA SILVA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,DROGARIA MENOR PRECO,RUA,JOSE PEDRO DE PONTES,75,SAO CAITANO,CENTRO,PE,,ATIVA,-8.28952685181,-35.979386956263
11750616000872,FW4 ADMINISTRADORA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMA FACIL,RUA,CAPITAO MANOEL MATULINO,31,AGRESTINA,CENTRO,PE,,ATIVA,-8.455790280577,-35.947622878453
01860281000115,MOACIR FLORENCIO SILVA FARMACIA,,RUA,JOAO DE DEUS,50,AGRESTINA,CENTRO,PE,,ATIVA,-8.455618459962,-35.945101521833
11630338000143,A & G COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMAG,RUA,TIAGO CANDIDO RIBEIRO,58,AGUA PRETA,COHAB,PE,,ATIVA,-8.708149394597,-35.521689463025
09673633000135,GETULIO SECUNDINO & CIA LTDA,POSTO DE MEDICAMENTOS SAO JOSE,RUA,JOAO RODRIGUES CARDOSO,SN,AGUAS BELAS,CENTRO,PE,,INAPTA,-9.113419280589,-37.120608070498
11844268000126,IZABELLY LARISSA ALEXANDRE SILVA BRITO,FARMABELLY,AVENIDA,CORONEL CONSTATINO,05,AGUAS BELAS,CENTRO,PE,,ATIVA,-9.109198608952,-37.127145667154
10115210000189,J SANTOS & SIQUEIRA LTDA,DHFARMA,RUA,PRACA NOSSA SENHORA DA CONCEICAO,178,AGUAS BELAS,CENTRO,PE,,ATIVA,-7.969965114244,-34.89251133748
