CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
22749864000143,IGOR-FELIPE NUNES DE ALENCAR,DROGARIA BEM ESTAR,AVENIDA,HUGO NAPOLEAO,237,AGRICOLANDIA,CENTRO,PI,,ATIVA,-5.796092173432,-42.660087722751
08837624000170,JOSEFA MARIA DOS SANTOS GOMES,DROGARIA FILADELFIA,AVENIDA,JOSE MIGUEL,987,AGUA BRANCA,CENTRO,PI,,ATIVA,-5.888540829857,-42.62500088353
05328409000155,DROGATEL FARMACIA LTDA,DROGATEL,AVENIDA,NECO TEIXEIRA,673,AGUA BRANCA,CENTRO,PI,,ATIVA,-5.889843918063,-42.637448833501
02378654000189,M P LEAL LTDA,DROGATEL FARMACIA,AVENIDA,JOSE MIGUEL,1064,AGUA BRANCA,CENTRO,PI,,ATIVA,-5.888540829857,-42.62500088353
03636498000171,O. R. CARDOSO DE SOUSA,DROGARIA CARDOSO,RUA,CONSELHEIRO LEONARDO CUNHA,42,ALTO LONGA,CENTRO,PI,,ATIVA,-5.251500835655,-42.211536354533
02678189000282,A. BARBOSA SOBRINHO,DROGARIA ECONOMICA,AVENIDA,PAULINO PACIFICO,155,JOSE DE FREITAS,CENTRO,PI,,ATIVA,-4.764182032358,-42.577015089704
02678189000100,A. BARBOSA SOBRINHO,CARDOSO DROGARIA,AVENIDA,FRANCISCO RAULINO,524,ALTOS,CENTRO,PI,,ATIVA,-5.039333456971,-42.46251410194
06626253036504,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIAS PAGUE MENOS,AVENIDA,FRANCISCO RAULINO,2016,ALTOS,CENTRO,PI,,ATIVA,-5.039333456971,-42.46251410194
11081788000124,F C FERREIRA CARDOSO,DROGA CENTER,AVENIDA,FRANCISCO RAULINO,1976,ALTOS,CENTRO,PI,,ATIVA,-5.039333456971,-42.46251410194
10985034000136,J FARIAS E COMERCIO,DROGARIA ALCANTARA,AVENIDA,FRANCISCO RAULINO,1792,ALTOS,CENTRO,PI,,ATIVA,-5.039333456971,-42.46251410194
01078285000146,CARMELITA P N VILARINHO LTDA,FARMACIA POPULAR,RUA,DA COSTA E SILVA,203,AMARANTE,CENTRO,PI,,ATIVA,-6.245505444837,-42.854259834703
03494130000116,FRANCISCO JOSE BARBOSA,FARMACIA SAO FRANCISCO,RUA,JOAO RIBEIRO,160,ANGICAL DO PIAUI,CENTRO,PI,,BAIXADA,-6.087600298267,-42.737511202105
05611289000107,NEYVALDO DE ALENCAR NUNES,NEYFARMA,AVENIDA,JOAO SIQUEIRA PAES,648,ANGICAL DO PIAUI,CENTRO,PI,,ATIVA,-6.082486009672,-42.734341390651
08595106000197,DHAYANE DE SOUSA SILVA,DROGARIA BRASIL,AVENIDA,CAPITAO MANOEL LUIZ,S/N,ANISIO DE ABREU,CENTRO,PI,,ATIVA,-9.187951035009,-43.049115452103
11187373000130,ERIELSON C DA SILVA,FARMACIA SANTA CRUZ,PRACA,DETINHO SOARES,669,AROAZES,CENTRO,PI,,ATIVA,-6.110683577638,-41.788146166598
02457926000136,FARMACIA SAO FRANCISCO LTDA,FARMACIA SAO FRANCISCO.,PRACA,DETINHO SOARES,574,AROAZES,CENTRO,PI,,ATIVA,-6.110683577638,-41.788146166598
