CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
75717199000172,F. T. G. ABATIA LTDA,FARMACIA TEIXEIRINHA,RUA,JOSE CARVALHO DE OLIVEIRA,107,ABATIA,CENTRO,PR,,ATIVA,-24.055730855625,-52.403021813206
79774212000186,J C LOURENCO & CIA LTDA,FARMACIA SAGRADO CORACAO DE JESUS,RUA,JOSE CARV DE OLIVEIRA,151,ABATIA,CENTRO,PR,,ATIVA,-24.05582162112,-52.40321426776
75000596000129,P S DAMIAO,FARMACIA N S APARECIDA,RUA,JOSE CARV DE OLIVEIRA,121,ABATIA,CENTRO,PR,,BAIXADA,-24.055759379787,-52.403082888707
13445239000117,VITOR RAFAEL MARTINS BORGES,FARMACIA DESCONTO FACIL ADRIANOPOLIS,AVENIDA,MAL MASCARENHAS DE MORAES,74,ADRIANOPOLIS,CENTRO,PR,,ATIVA,-24.657328798083,-48.993072365813
02773475000146,DAVID CANTERI & CIA LTDA,FARMACIA NOVA,AVENIDA,BRASIL,1195,AGUDOS DO SUL,CENTRO,PR,,ATIVA,-25.992971815036,-49.337414380825
18231855000270,COMERCIO DE MEDICAMENTOS POPULAR LTDA.,,AVENIDA,EMILIO JOHNSON,813,ALMIRANTE TAMANDARE,CENTRO,PR,,ATIVA,-25.309715208276,-49.297271021315
10562375000107,FARMACIA KALLEL LTDA,,AVENIDA,FRANCISCO KRUGER,5528,ALMIRANTE TAMANDARE,CACHOEIRA,PR,,ATIVA,-25.340717814556,-49.27010636277
06168550000109,FARMACIA WILSONFARMA LTDA,WILSONFARMA,RUA,EUGENIO ANTONIACOMI,17,ALMIRANTE TAMANDARE,LOTEAMENTO FORMOSO,PR,,ATIVA,-25.262881710964,-49.301402722898
86999844000103,EMARTINEZ & DMARTINEZ DROGARIA LTDA,MASTERFARMA LAMENHA,AVENIDA,VEREADOR WADISLAU BUGALSKI,4827,ALMIRANTE TAMANDARE,JARDIM VALMA,PR,,ATIVA,-25.348590859606,-49.295802489676
08485965000123,ALEXANDRE FURLANI SUPLEMENTOS E PERFUMARIA LTDA,,RUA,SAO BENTO,2275,CURITIBA,HAUER,PR,,ATIVA,-25.483460494077,-49.263331521891
