CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
33438250009547,DROGARIAS PACHECO S/A,DROGARIA PACHECO,AVENIDA,JOSE ELIAS RABA,280,ANGRA DOS REIS,ANGRA DOS REIS,RJ,,ATIVA,-22.999477620702,-44.301995106182
33438250014621,DROGARIAS PACHECO S/A,DROGARIA PACHECO,RUA,DO COMERCIO,256,ANGRA DOS REIS,CENTRO,RJ,,ATIVA,-23.008498099171,-44.318326490148
33438250020605,DROGARIAS PACHECO S/A,DROGARIA PACHECO,ESTRADA,DO MARINAS 91,200,ANGRA DOS REIS,PRAIA DO JARDIM,RJ,,ATIVA,-23.005248183853,-44.299093207484
05542047000109,FIRMINO NETTO DROGARIA LTDA,,AVENIDA,FRANCISCO MAGALHAES DE CASTRO,285,ANGRA DOS REIS,PARQUE MAMBUCABA (MAMBUCABA),RJ,,ATIVA,-23.018132681378,-44.535644403792
04779685004083,OFS RJ LTDA,DROGARIA MODERNA,RUA,DO COMERCIO,95,ANGRA DOS REIS,CENTRO,RJ,,ATIVA,-23.007761204153,-44.316800397037
04779685005055,OFS RJ LTDA,DROGARIA MODERNA,RUA,FRANCELINO ALVES DE LIMA,38,ANGRA DOS REIS,NOVA ANGRA (CUNHAMBEBE),RJ,,ATIVA,-22.964033531819,-44.436223176923
09025553000173,R S SILVA E NEVES FARMACIA E PERFUMARIA LTDA,DROGATUR,AVENIDA,BEIRA MAR,S/N,ANGRA DOS REIS,SANTA RITA II-BRACUHY,RJ,,ATIVA,-23.151180250602,-44.322636909792
11221530000186,RDC 230 DROGARIA LTDA,DROGARIA ECONOMIZE,RUA,ELOI TEIXEIRA,466,QUEIMADOS,QUEIMADOS,RJ,,ATIVA,-22.715570909304,-43.556004382463
31502412000153,DROGARIA APERIBEENSE LTDA,,RUA,PROFESSOR HONORIO SILVESTRE,255,APERIBE,CENTRO,RJ,,ATIVA,-21.62511619333,-42.102657277277
29630464000163,DROGARIA NEDER DE APERIBE LTDA,FARMACIA NEDER,RUA,HONORIO SILVESTRE,215,APERIBE,CENTRO,RJ,,ATIVA,-21.624826734123,-42.102514509684
02346998000106,FARMACIA PINHEIROS DE APERIBE LTDA,,RUA,SERAFIM BAIRRAL,893,APERIBE,CENTRO,RJ,,ATIVA,-21.6247248,-42.1039033
12685650000105,FARMACIA SOUZA DE APERIBE LTDA,,RUA,SERAFIM BAIRRAL,1043,APERIBE,CENTRO,RJ,,ATIVA,-21.6247248,-42.1039033
18612567000184,A.B.K. CAVALCANTE DROGARIA LTDA,DROGARIA ANDRE,RODOVIA,AMARAL PEIXOTO,95625,ARARUAMA,IGUABINHA,RJ,,ATIVA,-22.857321401992,-42.240211168416
17882913000181,COSTA REBELO DROGARIA LTDA,DROGARIA SOLAR,RUA,OSCARINO PEREIRA DE ANDRADE,316,ARARUAMA,CENTRO (SAO VICENTE),RJ,,ATIVA,-22.725893560004,-42.256766478591
28527109000109,DEBORAMA SERVICOS DE CALL CENTER LTDA,,AVENIDA,GETULIO VARGAS,21,ARARUAMA,CENTRO,RJ,,ATIVA,-22.87543776987,-42.33894853518
29715059000148,DROGARIA MONICA DE ARARUAMA LTDA,DROGARIA MONICA,AVENIDA,GETULIO VARGAS,455,ARARUAMA,CENTRO,RJ,,ATIVA,-22.872527913597,-42.336736872018
05588235000160,DROGARIA PAMELLA DE ARARUAMA LTDA,,AVENIDA,JOHN KENNEDY,292,ARARUAMA,ARARUAMA LAGOA SHOPPING,RJ,,ATIVA,-22.878814885802,-42.341007870781
07089107000105,DROGARIA PH DE ARARUAMA LTDA,,AVENIDA,ARARUAMA,971,ARARUAMA,CENTRO,RJ,,ATIVA,-22.858342701887,-42.290948014022
02968566000137,DROGARIA VERAO DE ARARUAMA LTDA,FARMACIA VERAO,RODOVIA,AMARAL PEIXOTO,SN,ARARUAMA,COQUEIRAL,RJ,,ATIVA,-22.857321401992,-42.240211168416
02092972000189,DROGARIA VIA LAGOS LTDA -,DROGARIAS ALEXANDRE,AVENIDA,GETULIO VARGAS,381,ARARUAMA,CENTRO,RJ,,ATIVA,-22.872452212088,-42.336565949105
33438250016594,DROGARIAS PACHECO S/A,DROGARIA PACHECO,AVENIDA,BRASIL,60,ARARUAMA,CENTRO,RJ,,ATIVA,-22.871869892288,-42.33451793079
33438250048100,DROGARIAS PACHECO S/A,DROGARIAS PACHECO,AVENIDA,NILO PECANHA,103,ARARUAMA,CENTRO,RJ,,ATIVA,-22.876576917654,-42.339322940604
10685472000189,E G B MELO DROGARIA E PERFUMARIA LTDA,PHARMANITA,RUA,ROSA RAPOSA,85,ARARUAMA,CENTRO,RJ,,ATIVA,-22.873803264559,-42.336041566481
05199454000157,FARMACIA FARMA VIDA DE ARARUAMA LTDA,,RODOVIA,AMARAL PEIXOTO,094333,ARARUAMA,PARATY,RJ,,ATIVA,-22.857321401992,-42.240211168416
73206203000102,FARMACIA PONTO SAUDE DE ARARUAMA LTDA,FARMACIA PONTO SAUDE,RUA,CDOR BENTO JOSE MARTINS,297,ARARUAMA,PRIMEIRO,RJ,,ATIVA,-22.874640907568,-42.336568898678
07636026000170,FARMASTER FARMACIA E PERFUMARIA LTDA,FARMASTER,RUA,BIANCA,25,ARARUAMA,IGUABINHA,RJ,,ATIVA,-22.857446900037,-42.243491887228
07636026000250,FARMASTER FARMACIA E PERFUMARIA LTDA,FARMASTER,RUA,CONSELHEIRO MACEDO SOARES,149,ARARUAMA,CENTRO,RJ,,ATIVA,-22.872286348508,-42.340002969759
