CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
08454043000159,FARMACIA SANTA BARBARA LTDA,FARMACIA SANTA BARBARA,PRACA,CORONEL SILVINO BEZERRA, 45,ACARI,CENTRO,RN,,ATIVA,-6.437746613025,-36.639418353624
02791653000161,GILSON BEZERRA DE MEDEIROS,,RUA,OTAVIO LAMARTINE,135,ACARI,CENTRO,RN,,INAPTA,-6.664616717531,-37.398300682457
24366320000209,F. A. DE MEDEIROS DROGARIA LTDA,,PRACA,DO ROSARIO,21,ASSU,CENTRO,RN,,ATIVA,-5.574513541787,-36.90702189695
24366320000128,F. A. DE MEDEIROS DROGARIA LTDA,DROGARIA SANTA CECILIA,RUA,DR LUIZ CARLOS,105,ASSU,IPE,RN,,ATIVA,-5.847774811949,-35.25145142118
04239454000170,SOARES & CABRAL COMERCIO DE MEDICAMENTOS LTDA,FARMACIA MENOR PRECO,AVENIDA,JERONIMO ROSADO,755,BARAUNA,CENTRO,RN,,ATIVA,-5.087256023431,-37.604503199709
11855278000167,MACEDO & MEDEIROS DROGARIA LTDA,DROGARIA GABRIEL,RUA,LUIZ CORREIA DE SA LEITAO,265,ASSU,VERTENTES,RN,,ATIVA,-5.584033285769,-36.908262878958
13000452003564,MULTFARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,FARMACIA IRMA DULCE,PRACA,PEDRO VELHO,20,ASSU,CENTRO,RN,,ATIVA,-5.57393150447,-36.90618972885
01030844000148,RAIMUNDA ALZENIR SILVA,DROGARIA TAMIRES,RUA,CRISTINA WLATSMICK,74 A,ASSU,FRUTILANDIA,RN,,ATIVA,-5.57667,-36.90861
07774026000136,DANIEL CEZAR SOUZA BEZERRA,FARMACIA NOSSA SENHORA DAS GRACAS,PRAÇA,JOSE VARELA,34,AFONSO BEZERRA,CENTRO,RN,,ATIVA,-5.501260761266,-36.505773528288
18410523000171,JOCEITALA DE OLIVEIRA BENTO,FARMACIA SANTA LUZIA,PRACA,CIVICA 9 DE JUNHO,35,AFONSO BEZERRA,CENTRO,RN,,ATIVA,-5.4993215,-36.4995157
07129465000196,IVANOSKA NOGUEIRA DINIZ NUNES,FARMACIA NOSSA SENHORA DESATADORA DOS NOS,RUA,JOSE BEZERRA,197,AGUA NOVA,CENTRO,RN,,ATIVA,-6.204735609904,-38.292117465145
09184829000166,FARMACIA PEREIRA E COSTA LTDA,FARMACIA SANTA BEATRIZ,RUA,PADRE CARLOS,SN,ALEXANDRIA,ESTACAO,RN,,ATIVA,-6.419686293915,-38.005349803704
09103797000127,FARMACIA SILVEIRA & SILVEIRA LTDA,FARMACIA HOLANDA,TRAVESSA,BENICIO DE PAIVA,160,ALEXANDRIA,CENTRO,RN,,ATIVA,-6.412520379385,-38.016582342182
