CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
00814611000173,W.H. DE ANDRADE MACIAS COMERCIO VAREJISTA LTDA,MEIO PRECO,PRACA,CASTELO BRANCO,3980,ALTA FLORESTA D'OESTE,CENTRO,RO,,ATIVA,-11.930021288219,-61.99313219023
05389824000119,F.J. SILVA COMERCIO FARMACEUTICO LTDA,FARMACIA POPULAR,AVENIDA,RONDONIA,4172,ALTA FLORESTA D'OESTE,CENTRO,RO,,ATIVA,-11.927489391248,-61.993702030784
34476598000101,FARMACIA SANTA FE LTDA,FARMACIA SANTA FE,AVENIDA,BRASIL,4092,ALTA FLORESTA D'OESTE,CENTRO,RO,,ATIVA,-11.929154776141,-61.990789868983
34736934000108,FLORESTAFARMA COMERCIO VAREJISTA DE MEDICAMENTOS LTDA,FLORESTAFARMA,AVENIDA,RONDONIA,4208,ALTA FLORESTA D'OESTE,CENTRO,RO,,ATIVA,-11.927489391248,-61.993702030784
00713544000109,DROGARIA VITORIA LTDA,DROGARIA VITORIA,AVENIDA,BRASIL,4493,ALTA FLORESTA D'OESTE,CENTRO,RO,,ATIVA,-11.929154776141,-61.990789868983
07814785000185,E.F. DE CARVALHO LTDA,HIPER POPULAR DROGARIAS,AVENIDA,RIO GRANDE DO SUL,4044,ALTA FLORESTA D'OESTE,CENTRO,RO,,ATIVA,-11.930029659149,-61.993664506498
10770960000194,PIONEIRA COMERCIO DE MEDICAMENTOS LTDA,FARMACIA PIONEIRA,AVENIDA,TANCREDO DE ALMEIDA NEVES,3505,ALTO ALEGRE DOS PARECIS,CENTRO,RO,,ATIVA,-11.119826013739,-62.372645498155
17271414000158,REIS & SANTOS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMACIA POPULAR,AVENIDA,TANCREDO DE ALMEIDA NEVES,3636,ALTO ALEGRE DOS PARECIS,CENTRO,RO,,ATIVA,-11.119826013739,-62.372645498155
34786467000120,GLOBO COM. DE MEDICAMENTOS E SERVICOS DE ASSISTENCIA LTDA,ESPACO CORPO & MENTE,RUA,CARLOS GOMES,327,PIMENTA BUENO,VILA NOVA,RO,,ATIVA,-24.57611624765,-53.797990699322
10730142000168,F. J. DA SILVA LTDA,FARMACIA ULTRA PAGUEMENOS,AVENIDA,TANCREDO NEVES,3571,ALTO ALEGRE DOS PARECIS,CENTRO,RO,,ATIVA,-11.119826013739,-62.372645498155
84716836000187,COMERCIO DE MEDICAMENTO ROCHA LTDA,FARMACIA DO POVO,AVENIDA,JORGE TEIXEIRA,3720,ALTO PARAISO,SETOR 02,RO,,ATIVA,-9.716064807469,-63.318759156413
22855589000142,CORREA & MENDES COMERCIO DE MEDICAMENTO LTDA,FARMACIA SANTO ANTONIO,AVENIDA,JORGE TEIXEIRA,3749,ALTO PARAISO,SETOR 01,RO,,INAPTA,-9.716064807469,-63.318759156413
06114176000150,FARMACIA MEDICAMENTO BARATO LTDA,FARMACIA MARINGA,AVENIDA,MARECHAL RONDON,5017,ALVORADA D'OESTE,CENTRO,RO,,ATIVA,-11.3459997,-62.2859514
15833841000157,R. DE F. BABOLIM CASTRO & CIA LTDA,FARMACIA CENTRAL,AVENIDA,MARECHAL RONDON,5081,ALVORADA D'OESTE,CENTRO,RO,,ATIVA,-11.3459997,-62.2859514
19560794000176,MG CHAVES COMERCIO DE MEDICAMENTOS LTDA,DROGARIAS POPULAR,RUA,CACAPAVA,4302,ARIQUEMES,SETOR 09,RO,,INAPTA,-9.931475296585,-63.030654007118
04230271000194,ABRANTES & FERNANDES LTDA,FARMA 100,RUA,CACAPAVA,4302,ARIQUEMES,SETOR 09,RO,,BAIXADA,-9.931475296585,-63.030654007118
08599642000160,BRAGANHOL E CANUTO COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMACIA SANTA LUCIA,AVENIDA,GUAPORE,2987,ARIQUEMES,SETOR 05,RO,,ATIVA,-9.899275623207,-63.042439208187
08113541000138,JMC COMERCIO DE MEDICAMENTOS LTDA,FARMACIA PRECO JUSTO,AVENIDA,MARIO QUINTANA,3680,ARIQUEMES,SETOR 11,RO,,ATIVA,-9.898396911984,-63.021812524191
05743125000125,COMERCIO DE MEDICAMENTOS SAO PAULO LTDA,FARMACIA E DROGARIA SAO PAULO,AVENIDA,TANCREDO NEVES,1599,ARIQUEMES,SETOR 01,RO,,ATIVA,-9.907853996273,-63.034565778641
34767335000151,ALVES & NASCIMENTO COMERCIO DE MEDICAMENTO LTDA,RM FARMA POPULAR,AVENIDA,JORGE TEIXEIRA,3551,ALTO PARAISO,SETOR 01,RO,,ATIVA,-9.716064807469,-63.318759156413
08068518000411,DROGARIA DA ECONOMIA LTDA,DROGARIA DA ECONOMIA,AVENIDA,CANAA,2528,ARIQUEMES,SETOR 01,RO,,BAIXADA,-9.913661195856,-63.043243290411
08068518000179,DROGARIA DA ECONOMIA LTDA,DROGARIA DA ECONOMIA,AVENIDA,TANCREDO NEVES,1745,ARIQUEMES,SETOR 01,RO,,ATIVA,-9.915877790151,-63.034411111397
08068518000330,DROGARIA DA ECONOMIA LTDA,DROGARIA DA ECONOMIA,AVENIDA,MACHADINHO,4106,ARIQUEMES,SETOR 11,RO,,BAIXADA,-9.894338540052,-63.01902383505
05909551000196,DROGARIA E PERFUMARIA ANDRADINA LTDA,,AVENIDA,TANCREDO NEVES,1381,ARIQUEMES,SETOR 01,RO,,ATIVA,-9.909591636964,-63.034513998262
05792080000189,DROGARIA IDEAL LTDA,,TRAVESSA,GARAPEIRA,3429,ARIQUEMES,SETOR 01,RO,,ATIVA,-9.914703279216,-63.034699941886
06626253043632,EMPREENDIMENTOS PAGUE MENOS S/A,FARMCIAS PAGUE MENOS,AVENIDA,TANCREDO NEVES,1695,ARIQUEMES,CENTRO,RO,,ATIVA,-9.9163245875,-63.03440046638
84583129000836,REDE DE LOGISTICA FARMACEUTICA DINAMICA LTDA,RD FARMA,AVENIDA,TANCREDO NEVES,1765,ARIQUEMES,SETOR 01,RO,,ATIVA,-9.915726119613,-63.034414464158
14610620000157,FARMACIA DO BAIXINHO LTDA,FARMA 100,AVENIDA,PERIMETRAL LESTE,463,ARIQUEMES,RAIO DE LUZ,RO,,INAPTA,-9.89800287677,-63.018863528203
05782693000135,FARMACIA E DROGARIA PARANA LTDA,DROGARIA PARANA,AVENIDA,TANCREDO NEVES,1427,ARIQUEMES,SETOR 01,RO,,ATIVA,-9.909085072202,-63.034537168673
16631923000181,FARMACIA E DROGARIA SANTA HELENA LTDA,A PRECO POPULAR,AVENIDA,MACHADINHO,4933,ARIQUEMES,ROTA DO SOL,RO,,ATIVA,-9.894217589118,-63.015921285965
04417761000102,MARCO ANTONIO SILVA BRAZ,DROGARIA GLOBO,AVENIDA,C,197,GOIANIA,JARDIM AMERICA,GO,,INAPTA,-16.700381472755,-49.279461902443
15884281000160,FPP COMERCIO DE MEDICAMENTOS LTDA,FARMACIA PRECO+POPULAR,RUA,ACAI,5542,PORTO VELHO,ELDORADO,RO,,ATIVA,-8.783050081126,-63.871863318548
18991949000166,MARQUES COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMACIA MAIS BARATO,AVENIDA,TANCREDO NEVES,2331,ARIQUEMES,SETOR 03,RO,,ATIVA,-9.900983074276,-63.034739961489
20034649000130,FARMACIA E DROGARIA SAUDE DO POVO LTDA,FARMACIA E DROGARIA SAUDE DO POVO,AVENIDA,JARU,3034,ARIQUEMES,SETOR 04,RO,,ATIVA,-9.903910528301,-63.026288633618
04592575000100,PAULISTA COMERCIO DE MEDICAMENTOS LTDA,FARMA 100,AVENIDA,JAMARI,3307,ARIQUEMES,SETOR 01,RO,,BAIXADA,-9.919466418177,-63.035467231197
05789089000130,FARMACIA DA FAMILIA COMERCIO DE MEDICAMENTO LTDA,MANIPULACAO E FARMACIA DA FAMILIA,AVENIDA,PORTO VELHO,1508 A,BURITIS,SETOR 02,RO,,ATIVA,-10.194819205068,-63.827697948274
63795033000195,ROBISON R. DE LIMA LTDA,DROGARIA DOMICIANO,AVENIDA,FOZ DO IGUACU,1569,BURITIS,SETOR 03,RO,,INAPTA,-10.2108364,-63.8275122
14578891000172,FARMACIA E PERFUMARIA MINAS LTDA,FARMA MINAS,AVENIDA,PERIMETRAL LESTE,548,ARIQUEMES,SETOR 09 (BAIXO),RO,,BAIXADA,-9.926115111413,-63.018525225585
06938960000183,B & ASSIS COMERCIO DE MEDICAMENTOS LTDA,FARMACIA DO POVO,AVENIDA,CANAA,4178,ARIQUEMES,SETOR 02,RO,,ATIVA,-9.913426879753,-63.027875741491
07898441000100,C ZAMBIAZI E CIA LTDA,DROGARIA DA ECONOMIA,RUA,CACAPAVA,4673,ARIQUEMES,SETOR 09,RO,,ATIVA,-9.932864343113,-63.026434464826
06289479000104,DROGARIA LIMA E LIMA LTDA,DROGARIA ULTRA BARATO,AVENIDA,AYRTON SENNA,1430,BURITIS,SETOR 03,RO,,ATIVA,-10.216138124011,-63.821207418836
07118487000150,D. S. ROCHA & CIA LTDA,DROGA CENTER,AVENIDA,PORTO VELHO,1119,BURITIS,SETOR 03,RO,,ATIVA,-10.194819205068,-63.827697948274
04317401000120,DUTRA & CAMPOS LTDA,FARMA VIDA,AVENIDA,AYRTON SENNA,1561,BURITIS,SETOR 01,RO,,ATIVA,-10.216138124011,-63.821207418836
09320699000141,ALVES & NEIVA LTDA,+ HIPER POPULAR DROGARIAS,AVENIDA,AYRTON SENNA,1486,BURITIS,SETOR 03,RO,,ATIVA,-10.216138124011,-63.821207418836
05713607000132,CHALUB & DODO LTDA,FARMACIA MEGA POPULAR,AVENIDA,MARECHAL CANDIDO RONDON,2464,MONTE NEGRO,SETOR 01,RO,,ATIVA,-10.258139471753,-63.292302219827
03629222000166,M N DE SOUZA LTDA,RONDOFARMA,AVENIDA,PORTO VELHO,127,BURITIS,SETOR 08,RO,,ATIVA,-10.194819205068,-63.827697948274
08722929000136,U.V. SCHNEIDER,FARMACIA POPULAR,RUA,"MUNICIPAL, BR 319 KM 100",1500,HUMAITA,REALIDADE,AM,,ATIVA,-7.526161716519,-63.031388235828
05705579000101,L D M C PRADO LTDA,DROGASUL,AVENIDA,TAMOIOS,4116,CABIXI,CENTRO,RO,,ATIVA,-13.492208513818,-60.542551487885
04927794000194,SOUZA & FELTRIN LTDA,FARMACIA POPULAR,AVENIDA,TAMOIOS,4224,CABIXI,CENTRO,RO,,ATIVA,-13.492208513818,-60.542551487885
34741819000121,R Q SA TELES LTDA,OUTRAFARMA,AVENIDA,DO CACAU,1527,CACAULANDIA,CENTRO,RO,,ATIVA,-10.3411407,-62.8998413
15858673000154,DOMINGUES & CIA LTDA,FARMACIA POPULAR,AVENIDA,DOIS DE JUNHO,2140,CACOAL,CENTRO,RO,,ATIVA,-11.426460872825,-61.447836164911
10388805000108,DROGAFAB COMERCIO DE MEDICAMENTOS LTDA,DROGAFAB,AVENIDA,BRASIL,4315,SAO FRANCISCO DO GUAPORE,CIDADE ALTA,RO,,BAIXADA,-12.069526216713,-63.568437079524
84615590000157,ARAUJO & SILVA COMERCIO DE MEDICAMENTOS LTDA,FARMACIA CUSTA POUCO,RUA,CARLOS GOMES,1199,PIMENTA BUENO,NOVA PIMENTA,RO,,ATIVA,-11.682346961346,-61.161225062307
10458604000130,DROGARIA MASTER LTDA,DROGA MASTER,AVENIDA,TUPINAMBAS,3083,CABIXI,CENTRO,RO,,ATIVA,-13.494827310034,-60.544043244423
10841362000169,DROGARIA R R MOREIRA LTDA ME,DROGARIA AVENIDA,AVENIDA,DAS COMUNICAES,2225,CACOAL,TEIXEIRAO,RO,,ATIVA,-11.421748455571,-61.412511886561
63764039000103,DUTRA E SANTOS LTDA,,AVENIDA,SETE DE SETEMBRO,2422,CACOAL,PRINCESA ISABEL,RO,,ATIVA,-11.440009913146,-61.445025159719
06626253047620,EMPREENDIMENTOS PAGUE MENOS S/A,FARMCIAS PAGUE MENOS,RUA,GENERAL OSORIO,1153,CACOAL,CENTRO,RO,,ATIVA,-11.442063178965,-61.446843795437
34768960000118,RECH & OLIVEIRA LTDA,FARMACIA MEDFARMA,RUA,ROSINEIA DE SOUZA,3320,CACOAL,VILLAGE DO SOL,RO,,ATIVA,-11.4204588,-61.4380516
84583129000917,REDE DE LOGISTICA FARMACEUTICA DINAMICA LTDA,RD FARMA,AVENIDA,TANCREDO NEVES,2343,ARIQUEMES,SETOR 03,RO,,ATIVA,-9.900919410342,-63.034741314017
07311356000195,FARMACIA DOUGLASFARMA LTDA,,AVENIDA,SETE DE SETEMBRO,2058,CACOAL,CENTRO,RO,,INAPTA,-11.425748523705,-61.445232352947
08790437000188,FARMACIA FARMA-LIFE LTDA,FARMACIA AMAZONIA,AVENIDA,SETE DE SETEMBRO,2258,CACOAL,PRINCESA ISABEL,RO,,ATIVA,-11.424013780585,-61.445552619177
09334122000199,POSTO DE MEDICAMENTOS R.O.S LTDA,POSTO DE MEDICAMENTOS MEDFARMA,RUA,RAFAEL ESCARDINE,5650,CACOAL,RIOZINHO,RO,,ATIVA,-11.50778,-61.35944
05792171000114,FARMACIA POP LTDA,FARMACIA POPULAR III,QUADRA,QUADRA 11,S/N,AGUAS LINDAS DE GOIAS,JARDIM DA BARRAGEM V,GO,,INAPTA,-15.76915734744,-48.279966000466
19640826000143,J. VALENTIM BORGES FARMACIA LTDA,FARMA & FARMA POPULAR,AVENIDA,BELO HORIZONTE,2468,CACOAL,CENTRO,RO,,ATIVA,-11.421084273647,-61.454643983919
09544266000170,C S SILVA,,AVENIDA,DAS MANGUEIRAS,1671,CACOAL,VISTA ALEGRE,RO,,ATIVA,-11.431892920021,-61.474060910509
34468306000199,GLOBOFARMA MEDICAMENTOS E PERFUMARIA LTDA,GLOBOFARMA,AVENIDA,DOIS DE JUNHO,2162,CACOAL,CENTRO,RO,,ATIVA,-11.426452533697,-61.447835706711
05422127000112,GONCALVES & BRANCHIER LTDA,,AVENIDA,MALAQUITA,2659,CACOAL,BALNEARIO ARCO-IRIS,RO,,ATIVA,-11.430458449164,-61.463555313734
10739686000190,GOODFARMA COMERCIO DE MEDICAMENTOS LTDA,GOODFARMA,RUA,ALMIRANTE BARROSO,3456,CACOAL,NOVO CACOAL,RO,,ATIVA,-11.424684448102,-61.457779167246
01689426000167,J. C. DE S. LEITE & CIA LTDA,FARMACIA HOMEOPATICA FONTE DA SAUDE,AVENIDA,DOIS DE JUNHO,2387,CACOAL,CENTRO,RO,,ATIVA,-11.426356499896,-61.448054613381
05987839000189,J. V. COSTA QUARESMA & CIA LTDA,FARMACIA SANTO ANTONIO,AVENIDA,CASTELO BRANCO,18860,CACOAL,CENTRO,RO,,ATIVA,-11.443737769841,-61.444832573162
12409334000100,LIMA & LIMA COMERCIO DE MEDICAMENTOS LTDA,FARMACIAS GLOBO,AVENIDA,DAS COMUNICACOES ESQUINA COM A RUA PE. EZEQUIEL RAMIM,2701,CACOAL,TEIXEIRAO,RO,,ATIVA,-11.428316320026,-61.432883637693
22870240000180,LOBIANCO FARMACIA E DROGARIA LTDA,FARMACIA GLOBO,AVENIDA,DOIS DE JUNHO,2197,CACOAL,CENTRO,RO,,ATIVA,-11.426429940518,-61.448055787577
02564852000137,LOBIANCO COMERCIO DE MEDICAMENTOS LTDA,GLOBOFORMULA,AVENIDA,SAO PAULO,2489,CACOAL,CENTRO,RO,,ATIVA,-11.42544088236,-61.449416707888
08258948000153,DROGARIA BIOFARMA MEDICAMENTOS LTDA,FARMACIA BIOFARMA,AVENIDA,C 231,116,GOIANIA,JARDIM AMERICA,GO,,INAPTA,-16.701261722067,-49.28202517457
01162564000193,FPMB RODRIGUES LTDA,FARMACIA PRECO MAIS BAIXO,AVENIDA,INDERVAL JOSE BRASIL,395,CACOAL,NOVO CACOAL,RO,,ATIVA,-11.42186493679,-61.458685692148
10903996000107,N. A. DO NASCIMENTO ALMEIDA,FARMACIA PAGUE POUCO CACOAL,AVENIDA,SAO PAULO,2490,CACOAL,CENTRO,RO,,ATIVA,-11.425436087493,-61.44919302048
15829120000173,H. LIMA LOBIANCO LTDA,DROGARIA GLOBO,AVENIDA,RIO DE JANEIRO,1175,CACOAL,NOVO HORIZONTE,RO,,ATIVA,-11.427381810174,-61.463362985845
11200851000102,NBG E SILVA - COMERCIO DE MEDICAMENTOS LTDA,,AVENIDA,1,S/N,TABAPORA,AMERICANA DO NORTE,MT,,ATIVA,-11.308789764494,-56.838545802285
04943403000125,PRADO & VACARIO LTDA,FARMACIA ESTRELA,RUA,GENERAL OSORIO,1063,CACOAL,CENTRO,RO,,ATIVA,-11.442101281808,-61.445867876264
00647694000153,R N F DE SOUZA & CIA LTDA,,RUA,DOS PIONEIROS,2368,CACOAL,CENTRO,RO,,ATIVA,-11.434712318989,-61.453843762903
13139524000100,V P COMERCIO MEDICAMENTOS LTDA,PRECO POPULAR,AVENIDA,DAS MANGUEIRAS,1713,CACOAL,VISTA ALEGRE,RO,,ATIVA,-11.431421396058,-61.474064933823
05707674000144,YASSUDA FARMACIA E LABORATORIO DE MANIPULACAO LTDA,,AVENIDA,DOIS DE JUNHO,2154,CACOAL,CENTRO,RO,,ATIVA,-11.426455566107,-61.447835873329
13383224000171,L. A. DE MELO SEREIA,FARMACIA DO NOZINHO,AVENIDA,PRIMEIRO DE MAIO,2194,CAMPO NOVO DE RONDONIA,SETOR 01,RO,,ATIVA,-10.571100326816,-63.620499292934
12045906000101,F. D. LIMA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMACIA DA FAMILIA,RUA,AMAPA,3915,SAO FRANCISCO DO GUAPORE,CENTRO,RO,,INAPTA,-12.066593663923,-63.574402850495
63749329000170,PORTO FARMA CANDEIAS LTDA,DROGARIA PORTO FARMA,AVENIDA,TANCREDO NEVES,2009,CANDEIAS DO JAMARI,NOVO HORIZONTE,RO,,ATIVA,-11.12311886524,-62.363705922623
11122809000102,DROGARIA GENERICOS & ETICOS LTDA,DROGA + POPULAR,RUA,PINHEIROS,2086,CASTANHEIRAS,CENTRO,RO,,INAPTA,-8.789128009319,-63.884585348513
34739557000160,A. P. DA SILVA & SILVA COM. DE MEDICAMENTOS LTDA,FARMACIA CENTRAL,AVENIDA,INTEGRACAO NACIONAL,1043,CEREJEIRAS,CENTRO,RO,,ATIVA,-13.191791267975,-60.820715035891
04802930000110,ALBONETTE & CAMPANA COMERCIO DE MEDICAMENTOS LTDA,DROGARIAS ULTRA POPULAR,AVENIDA,INTEGRACAO NACIONAL,1191,CEREJEIRAS,CENTRO,RO,,ATIVA,-13.191791267975,-60.820715035891
15860752000108,DROGA Z CAIOBA LTDA,DROGA Z CAIOBA,RUA,CACHOEIRA DO CAMPO,919,CAMPO GRANDE,PORTAL CAIOBA II,MS,,ATIVA,-20.519867209028,-54.684784717245
