CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
16631042000160,ANGELA M C SILVA,FARMA VIDA,AVENIDA,GETULIO VARGAS,S/N,ALTO ALEGRE,MULTIRAO,RR,,ATIVA,2.990476851026,-61.309872990137
15415609000107,R FREIRE GONCALVES & CIA LTDA,DROGARIA CRUVIANA,RUA,SOLON RODRIGUES PESSOA,1376,BOA VISTA,SANTA LUZIA,RR,,INAPTA,2.8099821,-60.7553153
02777130000160,BONFIM & MORAIS LTDA,DROGARIA FARMAVITA,AVENIDA,AMAZONAS,126,BOA VISTA,DOS ESTADOS,RR,,ATIVA,2.845094316228,-60.666895461102
03852851000150,CENTER FARMA LTDA,CENTER FARMA,RUA,LAURA PINHEIRO MAIA,937,BOA VISTA,PINTOLANDIA,RR,,ATIVA,2.804610891177,-60.752637922183
84024140000190,DROGARIA CENTER LTDA,DROGARIA CENTER,AVENIDA,SO SEBASTIAO,373,BOA VISTA,CAMBARA,RR,,SUSPENSA,2.811376113822,-60.727701718327
17426199000117,DROGARIA PAGUE POUCO LTDA,DROGARIA PAGUE POUCO,AVENIDA,DAS GUIANAS,859,BOA VISTA,13 DE SETEMBRO,RR,,ATIVA,2.802772593127,-60.683779791316
18580904000107,DROGARIA FLORACEA LTDA,DROGARIA FLORACEA,AVENIDA,CAP JULIO BEZERRA,2185,BOA VISTA,31 DE MARCO,RR,,ATIVA,2.841434917805,-60.668017203299
84021773000144,ARMARINHO ISAEL LTDA,DROGARIA GENERICO FARMA,AVENIDA,FELINTO BARBOSA MONTEIRO,379,BOA VISTA,SENADOR HELIO CAMPOS,RR,,ATIVA,2.797019212878,-60.756819527949
84039031000146,DROGARIA MASTER LTDA,MASTER MAIS,AVENIDA,VILLE ROY,5002,BOA VISTA,SAO FRANCISCO,RR,,ATIVA,2.829586888118,-60.66547899538
84042027000307,DROGARIA MEGAFARMA LTDA,DROGARIA MEGAFARMA,AVENIDA,GENERAL ATAIDE TEIVE,5810,BOA VISTA,SANTA TEREZA,RR,,BAIXADA,2.817352794826,-60.733491851196
84042027000218,DROGARIA MEGAFARMA LTDA,DROGARIA MEGAFARMA,AVENIDA,JOAO ALENCAR,2181,BOA VISTA,CAUAME,RR,,BAIXADA,2.847554995023,-60.706298187006
