CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
07758185000147,DROGARIA AGUA SANTA LTDA,DROGARIA AGUA SANTA,AVENIDA,DARIO ROMAN,489,AGUA SANTA,CENTRO,RS,,ATIVA,-28.177172610009,-52.036315500057
03991453000204,MARCIO BERTOGLIO & CIA.LTDA,,AVENIDA,DARIO ROMAN,529,AGUA SANTA,CENTRO,RS,,BAIXADA,-28.177172610009,-52.036315500057
06980301000296,BEVIFARMA DROGARIA LTDA,BEVIFARMA DROGARIA,RUA,RAMIRO BARCELOS,426,AGUDO,CENTRO,RS,,BAIXADA,-29.645305848144,-53.250788308176
06980301000458,BEVIFARMA DROGARIA LTDA,BEVIFARMA DROGARIA,RUA,MARECHAL DEODORO,412,AGUDO,CENTRO,RS,,BAIXADA,-29.643202358972,-53.245554600952
10258725000138,DROGARIA CASA DOS REMEDIOS LTDA.,CASA DOS REMEDIOS,AVENIDA,CONCORDIA,603,AGUDO,CENTRO,RS,,ATIVA,-29.644575517758,-53.267552213838
07993347000121,DROGARIA JAEGER LTDA.,,AVENIDA,CONCORDIA,1036,AGUDO,CENTRO,RS,,BAIXADA,-29.64448535509,-53.263069993512
04945668000162,MANIPULARE COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,MANIPULARE,RUA,MARECHAL FLORIANO,665,AGUDO,CENTRO,RS,,ATIVA,-29.641545113806,-53.247172254949
92601426000119,M.D.R. FISCHER & CIA. LTDA,FARMACIA E LABORATORIO FISCHER,RUA,GERMANO HENTSCHKE,148,AGUDO,CENTRO,RS,,ATIVA,-29.647401247281,-53.241083338175
92601426000208,M.D.R. FISCHER & CIA. LTDA,,RUA,MARECHAL DEODORO,349,AGUDO,CENTRO,RS,,ATIVA,-29.643751054523,-53.245416014452
95165171000187,MADALENA R PACHALY,FARMACIA GALENICA,AVENIDA,CONCORDIA,1468,AGUDO,CENTRO,RS,,ATIVA,-29.644466706307,-53.258711073347
08144960000137,MARCIA B FISCHER,PHARMARCIA,RUA,GERMANO HENTSCHKE,730,AGUDO,CENTRO,RS,,ATIVA,-29.643124565103,-53.240252296034
07333713000116,TATIANA P MISSIO,,AVENIDA,CONCORDIA,918,AGUDO,CENTRO,RS,,ATIVA,-29.644481871205,-53.264345554781
93562932000290,VALDEZ SIQUEIRA DE MELO,CENTRAL DA SAUDE,AVENIDA,CONCORDIA,993,AGUDO,CENTRO,RS,,ATIVA,-29.644590906209,-53.26356917491
07573711000102,DAMIAN BANDEIRA E CIA LTDA,,RUA,DA MATRIZ,636,AJURICABA,CENTRO,RS,,ATIVA,-28.23861837909,-53.77071034209
08360107000152,ERNANI S DE MOURA & CIA LTDA,,RUA,DA MATRIZ,804,AJURICABA,CENTRO,RS,,ATIVA,-28.240085462512,-53.770653778961
93674935000134,MONTAGNER RIGOLI E CIA LTDA,,RUA,HENRIQUE SCHMADECKE,61,AJURICABA,CENTRO,RS,,ATIVA,-28.240149493685,-53.770099019437
74852336000119,JULIANA APARECIDA TAQUARIANO FRANCO,FARMACIA ALECRIM,RUA,VEREADOR ADELMI COLOSSI,271,ALECRIM,CENTRO,RS,,ATIVA,-27.657389,-54.7670316
05630944000166,A. V. SOUTO LTDA,DROGARIA CIDADE ALTA,AVENIDA,ASSIS BRASIL,969,ALEGRETE,CIDADE ALTA,RS,,ATIVA,-29.797445325064,-55.801310042767
05630944000328,A. V. SOUTO LTDA,A.V. FARMA,AVENIDA,ASSIS BRASIL,516,ALEGRETE,CIDADE ALTA,RS,,ATIVA,-29.793350879534,-55.800120553762
05630944000247,A. V. SOUTO LTDA,DROGARIA CIDADE ALTA,AVENIDA,RONDON,387,ALEGRETE,CIDADE ALTA,RS,,ATIVA,-29.80235191617,-55.806163813191
88212113012108,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS,RUA,GASPAR MARTINS,168,ALEGRETE,CENTRO,RS,,ATIVA,-29.782943882616,-55.793852732399
88212113016448,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS,RUA,DOS ANDRADAS,325,ALEGRETE,CENTRO,RS,,ATIVA,-29.785010248748,-55.795663373134
92665611012507,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,PANVEL FARMACIAS,PRACA,GETULIO VARGAS,360,ALEGRETE,CENTRO,RS,,ATIVA,-29.784266596531,-55.791660569136
92665611001220,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,PANVEL FARMACIAS,RUA,GASPAR MARTINS,322,ALEGRETE,SEDE,RS,,ATIVA,-29.782719011317,-55.794602425673
