CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
82803677000122,ANTONIO SALMORIA,DROGARIA SANTA TEREZINHA,AVENIDA,26 DE ABRIL,954,ABDON BATISTA,CENTRO,SC,,ATIVA,-27.610488631921,-51.024900876865
16786019000145,CARI-PHARMA FARMACIA DE MANIPULACAO E DROGARIA LTDA,CARI-PHARMA,AVENIDA,GETULIO VARGAS,730,ABELARDO LUZ,CENTRO,SC,,ATIVA,-26.567484143158,-52.32917771848
81373706000109,DROGARIA BATTISTELLA LTDA,FABIAN FARMA,AVENIDA,GETULIO VARGAS,526,ABELARDO LUZ,CENTRO,SC,,ATIVA,-26.565760674668,-52.328226744034
07479878000109,FARMACIA E DROGARIA HARMONIA LTDA,FARMACIA E DROGARIA HARMONIA,AVENIDA,GETULIO VARGAR,1026,ABELARDO LUZ,CENTRO,SC,,ATIVA,-26.569856241827,-52.330442727843
15592077000175,NEILA PASTORE,SEVI - FARMACIA E DROGARIA,AVENIDA,GETULIO VARGAS,565,ABELARDO LUZ,CENTRO,SC,,ATIVA,-26.566281950896,-52.328283738221
09568612000150,TALITA BOLSONELLO E CIA LTDA,FARMACIA VITORIA,AVENIDA,CASTELO BRANCO,580,ABELARDO LUZ,CENTRO,SC,,ATIVA,-26.567951018841,-52.328451781626
00281924000103,WILSON LUIZ RODRIGUES E CIA LTDA,FARMACIA SANTO ANTONIO,AVENIDA,GETULIO VARGAS,697,ABELARDO LUZ,CENTRO,SC,,ATIVA,-26.567279787134,-52.328827972768
15053959000162,DELLA FARMA LTDA,FARMACIA BRASIL POPULAR,RUA,PIONEIROS,78,AGROLANDIA,CENTRO,SC,,ATIVA,-27.411809863077,-49.829407057312
80718158000130,FARMACIA ALAMEDA LTDA,FARMACIA ALAMEDA,ALAMEDA,TROMBUDO ALTO,250,AGROLANDIA,CENTRO,SC,,ATIVA,-27.414597541124,-49.830770977301
11751121000191,FARMACIA MAIS VALE AGROLANDIA LTDA,REDE MAIS VALE,RUA,PIONEIROS,297,AGROLANDIA,CENTRO,SC,,ATIVA,-27.410155635091,-49.829465865313
80125982000187,FARMACIA NOVA ERA LTDA,,RUA,PIONEIROS,305,AGROLANDIA,CENTRO,SC,,ATIVA,-27.410097034884,-49.829456675171
03109716000110,JF CASAGRANDE & CIA LTDA,FARMA CENTRO,RUA,DOS PIONEIROS,44,AGROLANDIA,CENTRO,SC,,ATIVA,-27.412376339189,-49.829822321674
04386632000196,FARMACIA DEMALINE LTDA,FARMACIA AGRONOMICA,RUA,XV DE NOVEMBRO,471,AGRONOMICA,CENTRO,SC,,ATIVA,-27.265620595312,-49.712455154863
08173113000109,FARMACIA MAIS VALE AGRONOMICA LTDA,REDE MAIS VALE,RUA,XV DE NOVEMBRO,183,AGRONOMICA,CENTRO,SC,,ATIVA,-27.267350378378,-49.714572742623
17896270000125,FARMACIA FERRETTI MENDES LTDA,FARMACIA BRASIL POPULAR AD,AVENIDA,INDEPENDENCIA,615,AGUA DOCE,CENTRO,SC,,ATIVA,-26.994743083022,-51.554916703631
01669173000160,FARMACIA MIRINHA LTDA,FARMACIA MIRINHA,PRACA,JOAO MACAGNAN,76,AGUA DOCE,CENTRO,SC,,ATIVA,-26.99915220394,-51.553304395818
