CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
09250405000152,ANDRADE MORENO LTDA,FARMACIA MAIS SAUDE,PRACA,RIO BRANCO,211,GARARU,CENTRO,SE,,ATIVA,-9.965862043969,-37.081585329602
00293651000117,DROGARIA BIOFARMA LTDA,DROGARIA BIOFARMA,RUA,H,03,AQUIDABA,CENTRO,SE,,ATIVA,-10.2917864,-37.022777
10376303000167,FARMACIA ROCHA & ROCHA LTDA,FARMACIA ROCHA,AVENIDA,MAYNARD GOMES,880,AQUIDABA,CENTRO,SE,,ATIVA,-10.281874287952,-37.018909237778
32703142000101,WAYNE & GONZAGA LTDA,FARMACIA SANT'ANA,PRAÇA,DA BANDEIRA,61,AQUIDABA,CENTRO,SE,,ATIVA,-10.280262243947,-37.018981604925
03213903000149,FARMACIA SOUZA LTDA,SOUZA FARMA,RUA,LARANJEIRAS,115,ARACAJU,CENTRO,SE,,ATIVA,-10.911712092772,-37.04901752856
32775900000105,BELEM & CIA LTDA,FARMACIA DO TRABALHADOR NACIONAL,AVENIDA,I,402,NOSSA SENHORA DO SOCORRO,CONJ. JOAO ALVES FILHO,SE,,ATIVA,-10.85467001463,-37.082977731285
47508411117347,COMPANHIA BRASILEIRA DE DISTRIBUICAO,,AVENIDA,ADELIA FRANCO,3735,ARACAJU,INACIO BARBOSA,SE,,BAIXADA,-10.9475604062,-37.073095309929
08760867000157,FARMACIA HIPER CENTER FARMA LTDA,DROGARIA HIPER CENTER FARMACIA,RUA,TENENTE JOSE ROSA DE ARAUJO,28,CARIRA,CENTRO,SE,,ATIVA,-10.360162825768,-37.702071515118
32755092000106,AGV FARMACIAS LTDA,FARMACIAS EDSON,RUA,URBANO NETO,2395,ARACAJU,COROA DO MEIO,SE,,ATIVA,-10.966417489035,-37.036665475677
06349863000155,DROGARIA S.G.LTDA,DROGARIA BOA SAUDE,RUA,URBANO NETO,801,ARACAJU,COROA DO MEIO,SE,,ATIVA,-10.966417489035,-37.036665475677
13912191000100,EDSON RABELO DOS SANTOS E CIA LTDA,FARMACIA EDSON,AVENIDA,PRESIDENTE JUSCELINO KUBITSCHEK,120,ARACAJU,DEZOITO DO FORTE,SE,,ATIVA,-10.905519881038,-37.060592195987
06626253024174,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIAS PAGUE MENOS,AVENIDA,BARAO DE MARUIM,552,ARACAJU,CENTRO,SE,,ATIVA,-10.918346913959,-37.051785735903
06626253015426,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,RUA,JOAO PESSOA,225,ARACAJU,CENTRO,SE,,ATIVA,-10.910772922714,-37.049241298565
06626253051813,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIAS PAGUE MENOS,RUA,LARANJEIRAS,238,ARACAJU,CENTRO,SE,,ATIVA,-10.91154691279,-37.050089224304
06626253013997,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,AVENIDA,HERMES FONTES,318,ARACAJU,CIRURGIA,SE,,ATIVA,-10.921574491505,-37.057418877751
06626253016660,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIAS PAGUE MENOS,AVENIDA,FRANKLIN DE CAMPOS SOBRAL,2255,ARACAJU,GRAGERU,SE,,ATIVA,-10.94632398629,-37.064801176613
06626253015850,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,AVENIDA,FRANCISCO PORTO,490,ARACAJU,SALGADO FILHO,SE,,ATIVA,-10.933721587497,-37.054155132293
06626253020268,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,RUA,JONALDO BOMFIM,668,ARACAJU,SANTOS DUMONT,SE,,ATIVA,-10.893778717562,-37.085755158721
11262139000120,ENERGY FARMA COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA,FARMACIA BEIRA MAR ENERGY,AVENIDA,MARIETA LEITE,83,ARACAJU,GRAGEU,SE,,ATIVA,-10.942512904733,-37.063929940138
32759623000139,FARMACIA BARRETO VASCONCELOS LTDA,FARMACIA VASCONCELOS,AVENIDA,GONCALO ROLEMBERG LEITE,1586,ARACAJU,SUICA,SE,,ATIVA,-10.925622951607,-37.053108691545
32851818000295,FARMACIA EDILMA LTDA,SOUZA FARMA,RUA,JOSE PRADO FRANCO,530,ARACAJU,CENTRO,SE,,ATIVA,-10.907828589393,-37.049000094202
32851818000104,FARMACIA EDILMA LTDA,SOUZA FARMA,AVENIDA,GONCALO PRADO ROLEMBERG,1540,ARACAJU,SAO JOSE,SE,,ATIVA,-10.9239991,-37.0522612
02989450000184,FARMACIA EDSON LTDA,FARMACIA EDSON,AVENIDA,BARAO DE MARUIM,538,ARACAJU,CENTRO,SE,,ATIVA,-10.918345908131,-37.051477700961
32859779000191,FARMACIA JR SOUZA LTDA,FARMACIA REIS,AVENIDA,SAO PAULO,2859,ARACAJU,JOSE C ARAUJO,SE,,ATIVA,-10.903026094149,-37.089045977727
32810988000140,FARMACIA MAX LTDA,FARMACIA MAX,RUA,ESPIRITO SANTO,1097,ARACAJU,NOVO PARAISO,SE,,ATIVA,-10.912547600881,-37.077200923617
13009154000196,FARMACIA MERCURIO LTDA,FARMACIA DO TRABALHADOR + SOUZA,RUA,ITABAIANINHA,351,ARACAJU,CENTRO,SE,,ATIVA,-10.909472112967,-37.050338013587
13154356000121,FARMACIA PREFERIDA LTDA,FARMACIAS EDSON,RUA,JOSE ARAUJO NETO - CJ ORLANDO DANTAS,328,ARACAJU,SAO CONRADO,SE,,ATIVA,-10.965559836072,-37.085302904315
13097795000140,FARMACIA SANTA RITA DE CASSIA LTDA,FARMACIA SANTA RITA DE CASSIA,RUA,CEL JOAO GONCALVES,19,ARACAJU,PONTO NOVO,SE,,ATIVA,-10.932631246498,-37.079413140828
11646253000153,FARMACIA VIVA MELHOR LTDA,FARMACIA VIVA MELHOR,RUA,RUA EDINEIDE CALIXTO,255,ITAPORANGA D'AJUDA,POVOADO CAUEIRA,SE,,BAIXADA,-10.997962,-37.314044
10744497000106,FARMICUS COMERCIO DE MEDICAMENTOS LTDA,FARMACIA POUPE MAIS,AVENIDA,ELIZA CORREIA OLIVEIRA,1410,ARACAJU,ZONA DE EXPANSAO,SE,,ATIVA,-11.01047633078,-37.088992234998
10744497000297,FARMICUS COMERCIO DE MEDICAMENTOS LTDA,FARMACIA POUPE MAIS,RUA,JOAO BATISTA MACHADO,155,ARACAJU,SAO CONRADO,SE,,ATIVA,-10.963499597722,-37.080008190628
09277033000158,JEAN JORGE ARAUJO SANTOS,FARMACIA SAO JORGE,AVENIDA,SAO JOAO BATISTA,1150,ARACAJU,PONTO NOVO,SE,,ATIVA,-10.932830297823,-37.079869805407
00430654000155,LUCIA BARRETO VASCONCELOS,FARMACIA VASCONCELOS,RUA,SAO FRANCISCO DE ASSIS,128,ARACAJU,SANTOS DUMONT,SE,,ATIVA,-10.88989718393,-37.080540609118
32763823000327,RABELO E CIA LTDA,FARMACIAS EDSON,RUA,SANTA CATARINA,382,ARACAJU,SIQUEIRA CAMPOS,SE,,ATIVA,-10.909830816514,-37.070289960629
32763823000165,RABELO E CIA LTDA,FARMACIA EDSON,AVENIDA,ANTONIO ALVES,664,ARACAJU,ATALAIA,SE,,ATIVA,-10.986873708194,-37.05246643026
09230833000113,RAFAEL ARAUJO RABELO LTDA,FARMACIA EDSON,RUA,MANOEL GOMES DA ROCHA,50,ARACAJU,LUZIA,SE,,ATIVA,-10.933781601923,-37.062317681062
61585865118586,RAIA DROGASIL S/A,,AVENIDA,JORGE AMADO,426,ARACAJU,JARDINS,SE,,ATIVA,-10.93960098966,-37.053175203993
61585865118071,RAIA DROGASIL S/A,,RUA,CEDRO,09,ARACAJU,SAO JOSE,SE,,ATIVA,-10.925556905089,-37.050242321425
02839366000184,SIMONE V. A. RABELO & CIA. LTDA.,FARMACIA EDSON,PRACA,CARVALHO NETO,115,ARACAJU,ATALAIA,SE,,ATIVA,-10.938340814741,-37.056654261417
13136155000100,SOUZA JUNIOR E CIA LTDA,FARMACIA DO TRABALHADOR + SOUZA,RUA,ITABAIANA,14,ARACAJU,CENTRO,SE,,ATIVA,-10.914063300432,-37.05030917984
13136155000363,SOUZA JUNIOR E CIA LTDA,FARMACIA DO TRABALHADOR + SOUZA,AVENIDA,HERMES FONTES,1702,ARACAJU,SUISSA,SE,,ATIVA,-10.932622384714,-37.061754836264
15617806000109,DROGADIAS LTDA,FARMACIA TRINDADE,PRACA,CORONEL JOAO NETO,259,ARAUA,CENTRO,SE,,ATIVA,-11.263960565854,-37.618496952435
27253810000106,FARMACIA NOSSA SENHORA DA CONCEICAO LTDA,FARMACIA NOSSA SENHORA DA CONCEICAO,PRACA,CORONEL JOAO NETO,249,ARAUA,CENTRO,SE,,ATIVA,-11.263960565854,-37.618496952435
07755701000180,DROGARIA NOSSA SENHORA APARECIDA LTDA,DROGARIA NOSSA SENHORA APARECIDA,RUA,HERACLITO DINIZ,1403,AREIA BRANCA,CENTRO,SE,,ATIVA,-10.762781629242,-37.32253950032
03103749000152,MARIA DE LOURDES ALMEIDA,FARMACIA SANTA MARIA,RUA,POVOADO JUNCO,S/N,AREIA BRANCA,ZONA RURAL,SE,,ATIVA,-10.780927220164,-37.380419697885
32854309000135,FARMACIA BOA SAUDE LTDA,FARMACIA BOA SAUDE,AVENIDA,OCEANICA,10,BARRA DOS COQUEIROS,PRISCO VIANA,SE,,ATIVA,-10.928481389269,-37.014288034762
13145354000176,DROGARIA J B E IRMAO LTDA,DROGARIA JB,PRAÇA,DESEMBARGADOR RINALDO COSTA E SILVA,123,BOQUIM,CENTRO,SE,,ATIVA,-11.146217187003,-37.619373392136
13095625000126,IRMAOS BARBOSA LTDA,DROGARIA JB,AVENIDA,MANOEL EUGENIO,35,BOQUIM,CENTRO,SE,,ATIVA,-11.147398888668,-37.622521090145
02684542000318,HUMBERTO JORGE FARIAS DE OLIVEIRA LTDA,FARMACIA FARIAS,AVENIDA,ANANIAS FERNANDES DOS SANTOS,760B,CANINDE DE SAO FRANCISCO,CENTRO,SE,,ATIVA,-9.661526467147,-37.791151530941
17331881000126,ADEMILTON DO NASCIMENTO,FARMACIA DO TRABALHADOR DE CAPELA E REGIAO,PRACA,MANOEL CARDOSO SOUZA,29,CAPELA,CENTRO,SE,,ATIVA,-10.505296699938,-37.054849489152
08787378000199,DROGARIA NOVA VIDA LTDA,DROGARIA NOVA VIDA,PRACA,VEREADOR JOAO OLIVEIRA,68,CARIRA,CENTRO,SE,,ATIVA,-10.35968296374,-37.702730986975
15600422000337,RODRIGO SANTOS & CIA LTDA,SA + FARMACIA,RUA,ANTONIO JOSE BASTOS,07,CARIRA,CENTRO,SE,,ATIVA,-10.35890562705,-37.703732466783
09018653000172,FARMACIA WVS LTDA,DROGARIA CENTER FARMA,RUA,TENENTE JOSE ROSA ARAUJO,26,CARIRA,CENTRO,SE,,ATIVA,-10.360154015882,-37.702085607636
11950931000177,MATEUS SANTOS MELO PRODUTOS FARMACEUTICOS,FARMACIAS DO CARMO,RUA,FONTE DA SAUDADE,08,CARMOPOLIS,CENTRO,SE,,ATIVA,-10.646427827319,-36.981622252456
13439583000101,ANE CAROLINE SANTANA SANTOS PRODUTOS FARMACEUTICOS,FARMACIA DO TRABALHADOR + BARATA DO BRASIL,AVENIDA,DES. OTAVIO DE SOUZA LEITE,565,CRISTINAPOLIS,CENTRO,SE,,ATIVA,-11.477009742026,-37.756940782151
11930668000154,DROGARIA + POPULAR LTDA,DROGARIA + POPULAR,RUA,GUMERCINDO BESSA,345,ESTANCIA,CENTRO,SE,,ATIVA,-11.268008696207,-37.437547773506
13145354000761,DROGARIA J B E IRMAO LTDA,FARMACIA JB,AVENIDA,RAIMUNDO SILVEIRA SOUZA,1627,ESTANCIA,ALAGOAS,SE,,ATIVA,-11.255334416058,-37.43573909506
13145354000338,DROGARIA J B E IRMAO LTDA,DROGARIA JB,RUA,CAMERINO,116,ESTANCIA,CENTRO,SE,,ATIVA,-11.269939455486,-37.440190453983
13145354000680,DROGARIA J B E IRMAO LTDA,DROGARIA J.B & IRMAO LTDA,RUA,CAPITAO SALOMAO,84,ESTANCIA,CENTRO,SE,,ATIVA,-11.271154445403,-37.439714673329
13145354001067,DROGARIA J B E IRMAO LTDA,DROGARIA JB,RUA,CAPITAO SALOMAO,313,ESTANCIA,CENTRO,SE,,ATIVA,-11.272954990108,-37.440450461489
16189763000162,HELVECIO SOUSA DOS ANJOS FILHO,FARMACIA BOMBOM,RUA,DA LIBERDADE,142,ESTANCIA,CENTRO,SE,,ATIVA,-11.268615296648,-37.439986553561
11970326000168,TATIANE TAVARES CHAVES E CIA LTDA,FARMACIA JARDIM,RUA,CAPITAO SALOMAO,241,ESTANCIA,CENTRO,SE,,ATIVA,-11.272401728146,-37.440140124185
10573832000150,MI COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMACIA ALAGOAS,AVENIDA,RAIMUNDO SILVEIRA SOUZA,1520,ESTANCIA,ALAGOAS,SE,,ATIVA,-11.260481035591,-37.436543075651
50598288000116,DROGARIAS CYNDIFARMA LTDA,DROGARIAS CYNDIFARMA,AVENIDA,JOSE ALVES DE QUEIROZ,33,FEIRA NOVA,CENTRO,SE,,ATIVA,-10.264689307783,-37.311969062924
12091832000140,DROGARIA FREI PAULO NORDESTE LTDA,DROGARIA NORDESTE,PRACA,CAPITAO JOAO TAVARES,241,FREI PAULO,CENTRO,SE,,ATIVA,-10.549979913305,-37.535382824734
02766802000132,J DANTAS E RODRIGUES LTDA,FARMACIA OPCAO,PRACA,JACKSON FIGUEIREDO,454,FREI PAULO,CENTRO,SE,,ATIVA,-10.550175714563,-37.532510597972
15552919000165,LYCIA IRIS PEREIRA DE ALBUQUERQUE,FARMACIA GARARU,PRACA,RIO BRANCO,135,GARARU,CENTRO,SE,,ATIVA,-9.965862043969,-37.081585329602
13097886000185,DROGARIA FONTES LTDA,DROGARIA FONTES,PRACA,ARQUIBALDO MENDONCA DE ARAUJO,384,INDIAROBA,CENTRO,SE,,ATIVA,-11.523320810256,-37.509975875538
06626253031898,EMPREENDIMENTOS PAGUE MENOS S/A,FARMCIA PAGUE MENOS,LARGO,SANTO ANTONIO,25,ITABAIANA,CENTRO,SE,,ATIVA,-10.685584258462,-37.428066881873
15089642000186,J N & CIA LTDA,DROGARIA SAO JOSE,AVENIDA,OTONIEL DOREA,347,ITABAIANA,CENTRO,SE,,ATIVA,-10.685700757382,-37.432966008273
32729428000166,L CUNHA COMERCIAL LTDA,FARMACIA BOA SAUDE,RUA,QUINTINO DE LACERDA,497,ITABAIANA,CENTRO,SE,,ATIVA,-10.68845339165,-37.421823613862
17341499000101,DROGARIA PREFERENCIAL LTDA,DROGARIA PREFERENCIAL,RUA,SAO PAULO,234,ITABAIANA,CENTRO,SE,,ATIVA,-10.685769658709,-37.429965475342
00465064000168,NOSSA FARMACIA LTDA,NOSSA FARMACIA,RUA,SANTA CRUZ,17,ITABAIANA,SERRANO,SE,,ATIVA,-10.689452999064,-37.430665416026
15600422000418,RODRIGO SANTOS & CIA LTDA,SA + FARMACIA,PRACA,GENERAL JOAO PEREIRA,200,ITABAIANA,CENTRO,SE,,ATIVA,-10.688752800939,-37.424627215142
15600422000175,RODRIGO SANTOS & CIA LTDA,SA + FARMACIA,LARGO,SANTO ANTONIO,07,ITABAIANA,CENTRO,SE,,ATIVA,-10.685585749497,-37.427936358954
32888232000114,DROGARIA MAFAMAR LTDA,DROGARIA SANTA INES,PRAÇA,TENNYSON FONTES SOUZA,31,ITABAIANINHA,CENTRO,SE,,ATIVA,-11.277126148938,-37.78695911066
32860124000133,DUQUE E TRINDADE LTDA,FARMACIA NOSSA SENHORA DAS GRACAS,RUA,MAJOR ERNESTO,74,ITABAIANINHA,CENTRO,SE,,ATIVA,-11.275610613298,-37.788287411622
13137898000196,FARMADIAS LTDA,,RUA,EURICO MONTEIRO ALVES,15,ITABAIANINHA,CENTRO,SE,,ATIVA,-11.276232690928,-37.787835304978
32882052000125,R & J COMERCIAL DE PROD FARMACEUTICOS LTDA,FARMACIA TRINDADE,PRACA,OLIMPIO CAMPOS,156,ITABAIANINHA,CENTRO,SE,,ATIVA,-11.145090426226,-37.627779853315
06298469000135,DROGARIA GONZAGA & ANDRADE LTDA,FARMACIA MAIS SAUDE,PRACA,PEDRO VIEIRA DE MANEZES,128,ITABI,CENTRO,SE,,ATIVA,-10.126604715795,-37.103344739605
11738163000192,IRMAOS CARDOSO COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,FARMA CENTER,RUA,DO COMERCIO,17,ITABI,CENTRO,SE,,ATIVA,-10.126482586612,-37.102651445661
00375195000154,ALMEIDA & LIMA LTDA,FARMACIA LIMA,AVENIDA,DEPUTADO JOSE CONDE SOBRAL,49,ITAPORANGA D'AJUDA,CENTRO,SE,,ATIVA,-10.998860487699,-37.312949793105
15610280000127,MARIA ANITA GOMES MATEUS VILAR,FARMACIA SAO FRANCISCO,PRACA,DA MATRIZ,514,JAPOATA,CENTRO,SE,,ATIVA,-10.346813905157,-36.800190475867
13145354000842,DROGARIA J B E IRMAO LTDA,DROGARIA JB,RUA,LAUDELINO FREIRE,03,LAGARTO,CENTRO,SE,,ATIVA,-10.916786101794,-37.669243090599
13145354000923,DROGARIA J B E IRMAO LTDA,,PRACA,ROSENDO RIBEIRO DE SOUZA,06,LAGARTO,CENTRO,SE,,ATIVA,-10.918581942524,-37.666551520893
19934161000180,DROGARIA JB LAGARTO LTDA,FARMACIA JB,RUA,DR LAUDELINO FREIRE,154,LAGARTO,CENTRO,SE,,ATIVA,-10.915982318079,-37.670134472859
06626253059806,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIAS PAGUE MENOS,AVENIDA,CONTORNO BR,316,LAGARTO,CENTRO,SE,,ATIVA,-10.911036831995,-37.672453455634
10399150000173,FARMACIA KI SAUDE LTDA,FARMACIA KI SAUDE,AVENIDA,LIBERIO MONTEIRO,143,LAGARTO,CENTRO,SE,,ATIVA,-10.913305843832,-37.673747108845
11509887000164,FARMACIA MARCELLUS LTDA,FARMACIA MARCELLUS,RODOVIA,ANTONIO MARTINS DE MENEZES,383,LAGARTO,POV. COLONIA TREZE,SE,,ATIVA,-10.929829432335,-37.679479602713
17588397000187,TOP FARMACIA LTDA,,RUA,MANOEL DE PAULA MENEZES LIMA,121,LAGARTO,CENTRO,SE,,ATIVA,-10.920506374556,-37.668385857402
13394671000126,FARMACIA SAO BENEDITO LTDA,FARMACIA SAO BENEDITO,PRACA,CEL TERCIO VERAS,43,MALHADOR,CENTRO,SE,,ATIVA,-10.657227,-37.303526
37814701000174,DROGARIA VITALITY LTDA,DROGARIA VITALITY,RUA,GENERAL SIQUEIRA,028,MARUIM,CENTRO,SE,,ATIVA,-10.737715517514,-37.0831011129
13936109000187,FARMACIA PRO-VIDA LTDA,,PRACA,PRACA SANTA TEREZINHA,141,MOITA BONITA,CENTRO,SE,,ATIVA,-10.578635716963,-37.342057405578
32878514000130,M A SANTOS & CIA LTDA,FARMACIA NOSSA SENHORA DO CARMO,PRACA,PRESIDENTE MEDICI,201,MONTE ALEGRE DE SERGIPE,CENTRO,SE,,ATIVA,-10.027755235465,-37.561368399101
10609721000157,FARMACIA ROCHA & PEREIRA LTDA,FARMACIA ROCHA & PEREIRA,RUA,JACKSON DE FIGUEIREDO,218,MURIBECA,CENTRO,SE,,ATIVA,-10.418480453765,-36.957833510439
32864241000175,MARIA JOSE DE VASCONCELOS LTDA,FARMACIA DO TRABALHADOR DO BAIXO SAO FRANCISCO,PRACA,MONSENHOR JOSE MORENO DE SANTANA,197A,NEOPOLIS,CENTRO,SE,,ATIVA,-10.316410103806,-36.577263669703
17284673000113,AMT FARMACIA LTDA,FARMACIA NOVA VIDA,AVENIDA,ABDON JOSE BARRETO,1079,NOSSA SENHORA APARECIDA,CENTRO,SE,,ATIVA,-10.399438207773,-37.45395142082
13348412000169,J & J OLIVEIRA FARMACIA E PERFUMARIA LTDA,,AVENIDA,LOURIVAL BATISTA,99,NOSSA SENHORA DA GLORIA,CENTRO,SE,,ATIVA,-10.21826804259,-37.421279537629
15600422000507,RODRIGO SANTOS & CIA LTDA,SA + FARMACIA E MANIPULACAO,AVENIDA,7 DE SETEMBRO,118,NOSSA SENHORA DA GLORIA,CENTRO,SE,,ATIVA,-10.215951516394,-37.420962973228
19541014000140,MELO & MATOS PRODUTOS FARMACEUTICOS LTDA,FARMACIAS DOCARMO,PRACA,JOSE IVAN PEREIRA DOS ANJOS,61,NOSSA SENHORA DAS DORES,CENTRO,SE,,ATIVA,-10.484421726874,-37.197906209434
01704230000102,NILTON GOMES DE ANDRADE,FAMARCIA SANTA MARIA,AVENIDA,SENADOR LEITE NETO,111,NOSSA SENHORA DE LOURDES,CENTRO,SE,,ATIVA,-10.077201624784,-37.058551583938
15068588000192,ARISEL PRODUTOS FARMACEUTICOS LTDA,SOUZA FARMA,AVENIDA,01,546,NOSSA SENHORA DO SOCORRO,JOAO ALVES FILHO,SE,,ATIVA,-10.855802996483,-37.081931166855
06626253036423,EMPREENDIMENTOS PAGUE MENOS S/A,FARMACIA PAGUE MENOS,AVENIDA,1,438,NOSSA SENHORA DO SOCORRO,COMPLEXO TAICOCA,SE,,ATIVA,-10.856806465912,-37.082163860841
02770872000164,FARMACIA MARTINS LTDA,FARMACIA DO TRABALHADOR ECONOMIK,RUA,28A,135,SAO CRISTOVAO,CONJ EDUARDO GOMES/ROSA ELZE,SE,,ATIVA,-10.934098479773,-37.121009275839
16469389000159,JOSE DOS SANTOS MENEZES,FARMACIA S MENESES,RUA,H 1,41,NOSSA SENHORA DO SOCORRO,CENTRO,SE,,ATIVA,-10.836883161067,-37.055949154528
32851891000186,JOSE FERNANDES MARTINS,FARMACIA MARTINS,AVENIDA,I,281,NOSSA SENHORA DO SOCORRO,CJ JOAO ALVES FILHO,SE,,ATIVA,-10.85467001463,-37.082977731285
