CNPJ,Nome,Fantasia,Tipo_Logradouro,Logradouro,Número,Município,Bairro,UF,Telefone,Situação,Latitude,Longitude
00422093000142,DUFONZAR DROGARIA LTDA,EDUFARMA,RUA,MATO GROSSO,31,ANDRADINA,STELLA MARIS,SP,,ATIVA,-20.88991542432,-51.382857635193
09161295000152,DROGARIA 9 DE JULHO DE ADAMANTINA LTDA,DROGARIA 9 DE JULHO,RUA,09 DE JULHO,824,ADAMANTINA,CENTRO,SP,,INAPTA,-21.685633362985,-51.079319547578
13581853000106,DROGARIA ADAMANTINA LTDA,DROGARIA ADAMANTINA,AVENIDA,DAS ROSAS,02,ADAMANTINA,VILA JARDIM,SP,,ATIVA,-21.685006156397,-51.069280794273
19808449000109,DROGARIA TLN SANTOS & SILVA LTDA,FARMA VIDA,RUA,BARAO DO RIO BRANCO,1458,SERTAOZINHO,CENTRO,SP,,ATIVA,-21.139839462282,-47.987593197939
57868721000135,DROGARIA SUCESSO DE ADAMANTINA LTDA,DROGARIA SUCESSO,AVENIDA,CAPITAO JOSE ANTONIO DE OLIVEIRA,213,ADAMANTINA,CENTRO,SP,,ATIVA,-21.686822875506,-51.075550227219
12243848000120,DROGARIA CASACA LTDA,,AVENIDA,RUI BARBOSA,499,QUATA,CENTRO,SP,,ATIVA,-22.247902644541,-50.698240078601
11551377000155,HADDAD & MAZO LTDA,FARMA - HOS,AVENIDA,ADHEMAR DE BARROS,318,ADAMANTINA,CENTRO,SP,,BAIXADA,-21.688811210197,-51.072695466041
08016020000162,GRASSI & GRASSI ADAMANTINA LTDA.,UNIFARMA,AVENIDA,CAPITAO JOSE ANTONIO DE OLIVEIRA,559,ADAMANTINA,CENTRO,SP,,ATIVA,-21.689655339811,-51.074144372469
43002849000107,N KOBAYASHI & FILHO LTDA,FARMACIA UNIAO,AVENIDA,RIO BRANCO,751,ADAMANTINA,CENTRO,SP,,ATIVA,-21.681909645937,-51.075827772191
03611789000105,NATIVA FARMACIA DE MANIPULACAO DE ADAMANTINA LTDA,,RUA,DEPUTADO SALLES FILHO,196,ADAMANTINA,CENTRO,SP,,ATIVA,-21.686511916995,-51.072058509963
